Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000064341,mt-Nd1,17716
ENSMUSG00000064345,mt-Nd2,17717
ENSMUSG00000064351,mt-Co1,17708
ENSMUSG00000064354,mt-Co2,17709
ENSMUSG00000064356,mt-Atp8,17706
ENSMUSG00000064357,mt-Atp6,17705
ENSMUSG00000064358,mt-Co3,17710
ENSMUSG00000064360,mt-Nd3,17718
ENSMUSG00000065947,mt-Nd4l,17720
ENSMUSG00000064363,mt-Nd4,17719
ENSMUSG00000064367,mt-Nd5,17721
ENSMUSG00000064368,mt-Nd6,17722
ENSMUSG00000064370,mt-Cytb,17711
ENSMUSG00000096776,Vmn1r186,100039479
ENSMUSG00000096550,Gm16367,545762
ENSMUSG00000062783,Csprs,114564
ENSMUSG00000095634,Gm20816,100039810
ENSMUSG00000095634,Gm20816,100861743
ENSMUSG00000095634,Gm20816,100862360
ENSMUSG00000095634,Gm20816,108168574
ENSMUSG00000095634,Gm20816,108168596
ENSMUSG00000099737,Gm29655,108168560
ENSMUSG00000100535,Gm20870,73329
ENSMUSG00000099782,Gm20903,100042110
ENSMUSG00000101157,Gm20905,108168510
ENSMUSG00000094575,Gm20738,382133
ENSMUSG00000094575,Gm20738,108168570
ENSMUSG00000094575,Gm20738,108168660
ENSMUSG00000101146,Gm20814,108167378
ENSMUSG00000100902,Gm20850,100040712
ENSMUSG00000100892,Gm20897,108168548
ENSMUSG00000096898,Gm20867,100041256
ENSMUSG00000096898,Gm20867,100861743
ENSMUSG00000096898,Gm20867,100862360
ENSMUSG00000096898,Gm20867,108168574
ENSMUSG00000096898,Gm20867,108168596
ENSMUSG00000100433,Gm21198,108168592
ENSMUSG00000094739,Gm20806,100039574
ENSMUSG00000094739,Gm20806,100040429
ENSMUSG00000094739,Gm20806,100041284
ENSMUSG00000094739,Gm20806,100042268
ENSMUSG00000094739,Gm20806,100042475
ENSMUSG00000094739,Gm20806,100861821
ENSMUSG00000094739,Gm20806,108168537
ENSMUSG00000094739,Gm20806,108168538
ENSMUSG00000094739,Gm20806,108168539
ENSMUSG00000094739,Gm20806,108168540
ENSMUSG00000094739,Gm20806,108168541
ENSMUSG00000094739,Gm20806,108168542
ENSMUSG00000094739,Gm20806,108168543
ENSMUSG00000094739,Gm20806,108168549
ENSMUSG00000094739,Gm20806,108168550
ENSMUSG00000094739,Gm20806,108168556
ENSMUSG00000094739,Gm20806,108168561
ENSMUSG00000094739,Gm20806,108168562
ENSMUSG00000094739,Gm20806,108168563
ENSMUSG00000094739,Gm20806,108168665
ENSMUSG00000101003,Gm28456,108168560
ENSMUSG00000101138,Gm29210,108168560
ENSMUSG00000102054,Gm29373,102635519
ENSMUSG00000095650,Gm20854,100040911
ENSMUSG00000102122,Gm20883,108168553
ENSMUSG00000099856,Gm20906,100042201
ENSMUSG00000094729,Gm20747,434960
ENSMUSG00000094729,Gm20747,100862371
ENSMUSG00000094729,Gm20747,108168629
ENSMUSG00000100045,Gm20929,100042578
ENSMUSG00000100057,Gm28690,108168560
ENSMUSG00000100609,Gm28687,102635519
ENSMUSG00000093950,Gm20823,100040031
ENSMUSG00000093950,Gm20823,108168570
ENSMUSG00000093950,Gm20823,108168660
ENSMUSG00000099975,Gm21617,108168543
ENSMUSG00000100856,Gm21627,108168557
ENSMUSG00000101766,Gm20908,100042279
ENSMUSG00000101766,Gm20908,100861691
ENSMUSG00000095785,Gm20924,108168570
ENSMUSG00000095785,Gm20924,108168660
ENSMUSG00000095785,Gm20924,108168662
ENSMUSG00000093993,Gm20736,380994
ENSMUSG00000096666,Gm20852,100040786
ENSMUSG00000096666,Gm20852,108168565
ENSMUSG00000096666,Gm20852,108168575
ENSMUSG00000095302,Ssty2,70009
ENSMUSG00000095302,Ssty2,100861817
ENSMUSG00000095302,Ssty2,108168622
ENSMUSG00000099457,Gm21794,108168591
ENSMUSG00000096016,Gm20937,108168524
ENSMUSG00000096016,Gm20937,108168525
ENSMUSG00000096016,Gm20937,108168532
ENSMUSG00000096016,Gm20937,108168595
ENSMUSG00000103919,Gm21366,100861973
ENSMUSG00000102529,Gm29740,101055902
ENSMUSG00000047161,Chst9,71367
ENSMUSG00000093868,Gm20809,100039614
ENSMUSG00000093868,Gm20809,108168580
ENSMUSG00000093868,Gm20809,108168583
ENSMUSG00000093868,Gm20809,108168584
ENSMUSG00000093868,Gm20809,108168585
ENSMUSG00000093868,Gm20809,108168586
ENSMUSG00000093868,Gm20809,108168602
ENSMUSG00000093868,Gm20809,108168603
ENSMUSG00000093868,Gm20809,108168604
ENSMUSG00000093868,Gm20809,108168605
ENSMUSG00000093868,Gm20809,108168606
ENSMUSG00000093868,Gm20809,108168607
ENSMUSG00000093868,Gm20809,108168610
ENSMUSG00000093868,Gm20809,108168611
ENSMUSG00000093868,Gm20809,108168666
ENSMUSG00000093868,Gm20809,108168667
ENSMUSG00000093868,Gm20809,108168668
ENSMUSG00000093868,Gm20809,108168670
ENSMUSG00000093868,Gm20809,118568459
ENSMUSG00000089454,Gm24228,115486060
ENSMUSG00000024304,Cdh2,12558
ENSMUSG00000102906,Gm20858,100041033
ENSMUSG00000077223,Gm22271,115486070
ENSMUSG00000033863,Klf9,16601
ENSMUSG00000080626,Mir1192,100316672
ENSMUSG00000077305,Gm22470,115486057
ENSMUSG00000025075,Habp2,226243
ENSMUSG00000048799,Cep120,225523
ENSMUSG00000101839,Gm28247,118568461
ENSMUSG00000100099,Gm28879,118568462
ENSMUSG00000101908,Gm21642,108168538
ENSMUSG00000024943,Smc5,226026
ENSMUSG00000073563,Csnk1g3,70425
ENSMUSG00000116552,Gm34396,102637634
ENSMUSG00000091039,Krtap20-2,622935
ENSMUSG00000058368,Krtap21-1,170656
ENSMUSG00000062433,Krtap6-2,16701
ENSMUSG00000065968,Ifitm7,74482
ENSMUSG00000084576,Gm23655,115488747
ENSMUSG00000059632,Krtap8-1,16703
ENSMUSG00000056706,Krtap7-1,71363
ENSMUSG00000091212,Krtap11-1,16693
ENSMUSG00000059898,Dsc3,13507
ENSMUSG00000044117,Bmerb1,67254
ENSMUSG00000101642,Gm29315,102635519
ENSMUSG00000100565,Gm28091,108168560
ENSMUSG00000022820,Ndufb4,68194
ENSMUSG00000022820,Ndufb4,100041273
ENSMUSG00000022820,Ndufb4,100042503
ENSMUSG00000060657,Marf1,223989
ENSMUSG00000052713,Zfp608,269023
ENSMUSG00000093918,Rbmyf5,100862365
ENSMUSG00000094511,Rbmyf6,100862383
ENSMUSG00000088440,Gm23555,115486062
ENSMUSG00000093987,Rbmyf7,100862394
ENSMUSG00000118919,Gm24263,115489073
ENSMUSG00000001700,Gramd2b,107022
ENSMUSG00000033207,Mamdc2,71738
ENSMUSG00000070074,Mir484,723916
ENSMUSG00000022816,Fstl1,14314
ENSMUSG00000095948,Rbmyf8,100862398
ENSMUSG00000119538,Gm24142,115488104
ENSMUSG00000119368,Gm22170,115488091
ENSMUSG00000077881,Mir882,100124461
ENSMUSG00000064545,Gm22981,115488052
ENSMUSG00000064720,Gm25856,115488056
ENSMUSG00000084487,Gm23787,115488058
ENSMUSG00000033053,Cfap95,67483
ENSMUSG00000096520,Rbmyf9,100041505
ENSMUSG00000064726,Gm25854,115488049
ENSMUSG00000108763,Btnl12,102639802
ENSMUSG00000084604,Gm22205,115488059
ENSMUSG00000034158,Lrrc58,320184
ENSMUSG00000065498,Mir379,723858
ENSMUSG00000065477,Mir411,723936
ENSMUSG00000106653,Mir299a,723927
ENSMUSG00000093291,Mir299b,100885824
ENSMUSG00000104582,Mir380,723859
ENSMUSG00000020607,Lratd1,105005
ENSMUSG00000074925,Ptar1,72351
ENSMUSG00000046961,Gpr156,239845
ENSMUSG00000080687,Mir1197,100316751
ENSMUSG00000065617,Mir323,723839
ENSMUSG00000076459,Mir758,791071
ENSMUSG00000065577,Mir329,723842
ENSMUSG00000070141,Mir494,723878
ENSMUSG00000024331,Dsc2,13506
ENSMUSG00000076145,Mir679,751539
ENSMUSG00000080411,Mir1193,100316673
ENSMUSG00000119624,Gm25414,115488109
ENSMUSG00000076272,Mir666,751521
ENSMUSG00000076241,Mir543,723881
ENSMUSG00000070105,Mir495,751522
ENSMUSG00000076396,Mir667,751552
ENSMUSG00000076006,Mir376c,723856
ENSMUSG00000077980,Mir654,100124453
ENSMUSG00000105853,Mir376b,723934
ENSMUSG00000105178,Mir376a,723855
ENSMUSG00000098807,Mir300,723833
ENSMUSG00000098838,Mir381,723935
ENSMUSG00000076219,Mir487b,723940
ENSMUSG00000022812,Gsk3b,56637
ENSMUSG00000076063,Mir539,723917
ENSMUSG00000077001,Mir544,100124450
ENSMUSG00000024897,Apba1,319924
ENSMUSG00000020601,Trib2,217410
ENSMUSG00000098480,Mir6387,102465204
ENSMUSG00000071235,Vrtn,432677
ENSMUSG00000065428,Mir382,723912
ENSMUSG00000065426,Mir134,387152
ENSMUSG00000099236,Mir668,751523
ENSMUSG00000070128,Mir485,723875
ENSMUSG00000077925,Mir453,100124484
ENSMUSG00000065448,Mir154,387172
ENSMUSG00000070136,Mir496a,751524
ENSMUSG00000065438,Mir377,723857
ENSMUSG00000071234,Syndig1l,627191
ENSMUSG00000093927,Gm20918,108168642
ENSMUSG00000071604,Entrep1,381217
ENSMUSG00000119029,Gm25617,115486007
ENSMUSG00000076052,Mir541,723941
ENSMUSG00000022678,Nde1,67203
ENSMUSG00000105849,Mir409,723862
ENSMUSG00000065570,Mir412,723913
ENSMUSG00000065561,Mir369,723933
ENSMUSG00000065497,Mir410,723863
ENSMUSG00000035142,Nubpl,76826
ENSMUSG00000095148,Gm20873,100041362
