"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045595","regulation of cell differentiation","25/66","1672/29008",9.23844238780646e-15,1.83845003517349e-11,1.12514503607285e-11,"15904/15903/19242/15901/50918/17132/14531/20677/19716/23966/20563/56320/17118/19130/21417/268396/320790/20661/93691/13207/20679/12934/17756/21419/217410",25
"GO:0022008","neurogenesis","23/66","1879/29008",9.31873329266306e-12,9.27213962619975e-09,5.67461811558482e-09,"15904/71436/19242/15901/14531/20677/20512/19716/17754/23966/20563/56320/17118/19130/21417/13544/320790/319974/68955/93691/20679/12934/17756",23
"GO:0007417","central nervous system development","17/66","949/29008",2.72797225722293e-11,1.80955493062454e-08,1.1074610181077e-08,"15904/15903/19242/14531/20677/23966/20563/17118/19130/21417/13544/320790/72475/11864/20679/12934/17756",17
"GO:0048699","generation of neurons","21/66","1750/29008",1.40752216784882e-10,6.09496445999682e-08,3.73016338546222e-08,"15904/71436/19242/15901/20677/20512/19716/17754/23966/20563/56320/17118/19130/21417/13544/320790/319974/68955/93691/12934/17756",21
"GO:0030182","neuron differentiation","20/66","1570/29008",1.53139810552684e-10,6.09496445999682e-08,3.73016338546222e-08,"15904/71436/19242/15901/20677/20512/19716/17754/23966/20563/56320/17118/19130/21417/13544/319974/68955/93691/12934/17756",20
"GO:0051254","positive regulation of RNA metabolic process","20/66","1677/29008",4.86900095973e-10,1.61488531831045e-07,9.88321773755722e-08,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/69188/319974/268721/93691/11864/13207/14536/20679/21419",20
"GO:0045893","positive regulation of transcription, DNA-templated","19/66","1538/29008",8.25928484921236e-10,1.86612376733642e-07,1.14208156509296e-07,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/69188/319974/93691/11864/13207/14536/20679/21419",19
"GO:1903508","positive regulation of nucleic acid-templated transcription","19/66","1538/29008",8.25928484921236e-10,1.86612376733642e-07,1.14208156509296e-07,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/69188/319974/93691/11864/13207/14536/20679/21419",19
"GO:1902680","positive regulation of RNA biosynthetic process","19/66","1540/29008",8.43975573167223e-10,1.86612376733642e-07,1.14208156509296e-07,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/69188/319974/93691/11864/13207/14536/20679/21419",19
"GO:0045944","positive regulation of transcription by RNA polymerase II","17/66","1249/29008",1.83887086436799e-09,3.6593530200923e-07,2.23955114744607e-07,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/319974/93691/11864/14536/20679/21419",17
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process","20/66","1847/29008",2.58886953963353e-09,4.68350034897339e-07,2.86633689699138e-07,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/69188/319974/268721/93691/11864/13207/14536/20679/21419",20
"GO:0000904","cell morphogenesis involved in differentiation","14/66","828/29008",4.18005253560201e-09,6.93192045487333e-07,4.24238665236098e-07,"71436/19242/15901/50918/20512/17754/20563/56320/17118/19130/319974/93691/12934/17756",14
"GO:0010557","positive regulation of macromolecule biosynthetic process","19/66","1772/29008",8.46768231395124e-09,1.29620675421254e-06,7.93288132570169e-07,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/69188/319974/93691/11864/13207/14536/20679/21419",19
"GO:0060429","epithelium development","16/66","1227/29008",1.10726867113607e-08,1.57390332540056e-06,9.63240490604839e-07,"15904/71436/15903/15901/50918/17132/14531/20677/20563/19130/21417/13544/320790/72475/93691/21419",16
"GO:0031328","positive regulation of cellular biosynthetic process","19/66","1891/29008",2.41434330242828e-08,3.20302878122152e-06,1.9602773339716e-06,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/69188/319974/93691/11864/13207/14536/20679/21419",19
"GO:0048667","cell morphogenesis involved in neuron differentiation","12/66","657/29008",2.65842730666146e-08,3.20838680203463e-06,1.96355648238777e-06,"71436/19242/15901/20512/17754/20563/56320/17118/319974/93691/12934/17756",12
"GO:2000026","regulation of multicellular organismal development","17/66","1503/29008",2.86045141714905e-08,3.20838680203463e-06,1.96355648238777e-06,"15904/71436/19242/15901/17132/20677/19716/23966/20563/56320/17118/19130/21417/320790/93691/20679/17756",17
"GO:0000902","cell morphogenesis","15/66","1135/29008",2.90205841390067e-08,3.20838680203463e-06,1.96355648238777e-06,"71436/19242/15901/50918/20512/17754/20563/56320/17118/19130/319974/93691/20679/12934/17756",15
"GO:0009891","positive regulation of biosynthetic process","19/66","1937/29008",3.54432693886521e-08,3.71221610965356e-06,2.27190374973244e-06,"15904/320038/17132/14531/20677/244579/19130/21417/13544/320790/72475/69188/319974/93691/11864/13207/14536/20679/21419",19
"GO:0051960","regulation of nervous system development","11/66","550/29008",4.31518466977427e-08,4.29360874642539e-06,2.62772034890991e-06,"15904/71436/19242/15901/19716/23966/20563/56320/17118/320790/17756",11
"GO:0032989","cellular component morphogenesis","13/66","848/29008",5.08323148706996e-08,4.81696698060439e-06,2.94801946392979e-06,"71436/19242/15901/17754/23966/20563/56320/17118/19130/319974/93691/12934/17756",13
"GO:0050767","regulation of neurogenesis","10/66","451/29008",7.2463386325095e-08,6.55464267213359e-06,4.01148985541315e-06,"15904/19242/15901/19716/23966/20563/56320/17118/320790/17756",10
"GO:0060284","regulation of cell development","11/66","598/29008",1.0036745385913e-07,8.6839666599856e-06,5.31465190457728e-06,"15904/19242/15901/50918/19716/23966/20563/56320/17118/320790/17756",11
"GO:0048666","neuron development","15/66","1292/29008",1.56900977692145e-07,1.30097060669737e-05,7.9620364556935e-06,"71436/19242/15901/20512/19716/17754/23966/20563/56320/17118/319974/68955/93691/12934/17756",15
"GO:0009790","embryo development","15/66","1297/29008",1.64900905169957e-07,1.31261120515286e-05,8.0332777802796e-06,"71436/15903/50918/14531/20677/23966/20563/56320/19130/21417/13544/320790/72475/11864/20679",15
"GO:0071363","cellular response to growth factor stimulus","11/66","642/29008",2.04128185363065e-07,1.56236572643269e-05,9.56179394595408e-06,"71436/15901/19716/20563/56320/21417/20661/13207/20679/21419/68939",11
"GO:0007507","heart development","11/66","648/29008",2.23925199366794e-07,1.6504116545923e-05,1.01006415464866e-05,"71436/15903/15901/20677/23966/20563/19130/268396/13544/320790/20679",11
"GO:1902903","regulation of supramolecular fiber organization","9/66","388/29008",2.3605059034791e-07,1.6776452671155e-05,1.02673132718997e-05,"15901/50918/544963/17754/20563/56320/19130/268396/17756",9
"GO:0070848","response to growth factor","11/66","655/29008",2.49159304436331e-07,1.70974833044241e-05,1.04637863968361e-05,"71436/15901/19716/20563/56320/21417/20661/13207/20679/21419/68939",11
"GO:0061564","axon development","10/66","530/29008",3.21299678534187e-07,2.13128786761011e-05,1.30436395811949e-05,"71436/19242/19716/17754/20563/56320/319974/93691/12934/17756",10
"GO:0048812","neuron projection morphogenesis","11/66","710/29008",5.52630499476368e-07,3.54753127083217e-05,2.17111540880869e-05,"71436/19242/15901/17754/20563/56320/17118/319974/93691/12934/17756",11
"GO:0045596","negative regulation of cell differentiation","11/66","723/29008",6.60347099602698e-07,4.09137072297655e-05,2.50394918089599e-05,"15904/15903/19242/15901/19716/20563/21417/20661/20679/17756/217410",11
"GO:0120039","plasma membrane bounded cell projection morphogenesis","11/66","725/29008",6.78468511850383e-07,4.09137072297655e-05,2.50394918089599e-05,"71436/19242/15901/17754/20563/56320/17118/319974/93691/12934/17756",11
"GO:0048858","cell projection morphogenesis","11/66","730/29008",7.25708471173365e-07,4.24752899304411e-05,2.59951919859933e-05,"71436/19242/15901/17754/20563/56320/17118/319974/93691/12934/17756",11
"GO:0051094","positive regulation of developmental process","15/66","1483/29008",9.05028147054893e-07,5.14573146468354e-05,3.14922576283462e-05,"71436/19242/50918/14531/20677/19716/23966/56320/17118/19130/21417/268396/320790/72475/20679",15
"GO:0032990","cell part morphogenesis","11/66","753/29008",9.82535066734443e-07,5.43123550778206e-05,3.32395635149635e-05,"71436/19242/15901/17754/20563/56320/17118/319974/93691/12934/17756",11
"GO:0032880","regulation of protein localization","12/66","931/29008",1.11206014672491e-06,5.98108024860152e-05,3.66046540472465e-05,"19242/319236/58801/20677/17754/56320/13544/15502/93691/59090/17756/21419",12
"GO:0000122","negative regulation of transcription by RNA polymerase II","12/66","950/29008",1.37267173176087e-06,7.18846512158983e-05,4.39939388821975e-05,"15904/15903/15901/17132/230119/19130/21417/93691/13207/14536/20679/21419",12
"GO:0035909","aorta morphogenesis","4/66","37/29008",1.52518865173287e-06,7.78237286397026e-05,4.76286982470965e-05,"20677/19130/320790/21419",4
