"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051094","positive regulation of developmental process","15/67","1483/29008",1.11128419671387e-06,0.00120924975931387,0.000811282157797732,"68792/69073/11535/232210/18424/18784/12176/76365/19415/22637/18787/15277/22695/23892/16842",15
"GO:2000026","regulation of multicellular organismal development","15/67","1503/29008",1.31322470851361e-06,0.00120924975931387,0.000811282157797732,"68792/69073/21838/11535/22113/18424/16948/17313/76365/22637/18787/15277/22695/23892/16842",15
"GO:0050878","regulation of body fluid levels","8/67","366/29008",2.02900602205226e-06,0.00120924975931387,0.000811282157797732,"11752/69073/11535/22371/214531/17386/12740/18787",8
"GO:0009611","response to wounding","9/67","507/29008",2.46671602727906e-06,0.00120924975931387,0.000811282157797732,"11752/16475/11535/22371/20512/16948/12740/18787/22695",9
"GO:0060429","epithelium development","13/67","1227/29008",3.9352187346347e-06,0.00120924975931387,0.000811282157797732,"53868/69073/18793/16475/11535/26565/18424/17313/76365/18787/22695/23892/16842",13
"GO:0007155","cell adhesion","14/67","1438/29008",4.20321472226437e-06,0.00120924975931387,0.000811282157797732,"68792/246177/21838/18793/16475/22371/17339/76365/22637/12740/14012/18787/23892/16842",14
"GO:0048585","negative regulation of response to stimulus","15/67","1656/29008",4.32940601908945e-06,0.00120924975931387,0.000811282157797732,"15937/14776/21838/18793/16475/11535/56811/26565/18784/76365/19415/117599/18787/22695/23892",15
"GO:0022610","biological adhesion","14/67","1451/29008",4.6620766267576e-06,0.00120924975931387,0.000811282157797732,"68792/246177/21838/18793/16475/22371/17339/76365/22637/12740/14012/18787/23892/16842",14
"GO:0034097","response to cytokine","12/67","1063/29008",5.14574365665476e-06,0.00120924975931387,0.000811282157797732,"12332/26565/18424/16948/14175/14584/18787/15277/54484/22695/20717/16842",12
"GO:0015849","organic acid transport","7/67","314/29008",8.12250838591016e-06,0.00171791052362,0.00115254118991652,"18778/22044/20512/26565/18784/17339/14077",7
"GO:0071345","cellular response to cytokine stimulus","11/67","963/29008",1.19698169455265e-05,0.00216476020401745,0.00145233134503696,"12332/26565/18424/16948/14175/14584/18787/15277/54484/22695/16842",11
"GO:0046470","phosphatidylcholine metabolic process","4/67","61/29008",1.22823273986806e-05,0.00216476020401745,0.00145233134503696,"18778/26565/18784/14077",4
"GO:0015909","long-chain fatty acid transport","4/67","65/29008",1.5824564931776e-05,0.0025745349869774,0.00172724805895013,"18778/26565/18784/14077",4
"GO:0006820","anion transport","8/67","495/29008",1.83381551864451e-05,0.00277037130138081,0.00185863407453594,"18778/22044/20512/26565/18784/17339/71345/12740",8
"GO:0050728","negative regulation of inflammatory response","5/67","143/29008",2.04985484872913e-05,0.00289029533670807,0.00193909076216622,"15937/14776/26565/18784/22695",5
"GO:0032102","negative regulation of response to external stimulus","7/67","398/29008",3.71944824975482e-05,0.00491664565514466,0.00329856331622994,"15937/14776/26565/18784/18787/22695/23892",7
"GO:0046471","phosphatidylglycerol metabolic process","3/67","29/29008",4.12201725434055e-05,0.00512827440760604,0.00344054443272512,"18778/26565/18784",3
"GO:0015908","fatty acid transport","4/67","87/29008",5.00793384149886e-05,0.00538820566971219,0.00361493156290757,"18778/26565/18784/14077",4
"GO:0061436","establishment of skin barrier","3/67","31/29008",5.05400354431536e-05,0.00538820566971219,0.00361493156290757,"69073/214531/12740",3
"GO:0001890","placenta development","5/67","174/29008",5.24066601703063e-05,0.00538820566971219,0.00361493156290757,"11535/22113/22371/18787/16842",5
"GO:0046942","carboxylic acid transport","6/67","288/29008",5.45893941622956e-05,0.00538820566971219,0.00361493156290757,"18778/22044/20512/26565/18784/17339",6
"GO:0002009","morphogenesis of an epithelium","8/67","582/29008",5.76765369057811e-05,0.00538820566971219,0.00361493156290757,"69073/16475/11535/26565/17313/76365/23892/16842",8
"GO:0050482","arachidonic acid secretion","3/67","33/29008",6.11427593726206e-05,0.00538820566971219,0.00361493156290757,"18778/26565/18784",3
"GO:1903963","arachidonate transport","3/67","33/29008",6.11427593726206e-05,0.00538820566971219,0.00361493156290757,"18778/26565/18784",3
"GO:0030334","regulation of cell migration","10/67","963/29008",6.92241523150922e-05,0.0058563632858568,0.00392901715034713,"53868/68792/21838/16475/22113/14175/12740/18787/23892/16842",10
"GO:1990830","cellular response to leukemia inhibitory factor","6/67","311/29008",8.33754237654624e-05,0.00653392907830231,0.00438359407617345,"26565/18424/14175/14584/15277/54484",6
"GO:1990823","response to leukemia inhibitory factor","6/67","312/29008",8.48574513879144e-05,0.00653392907830231,0.00438359407617345,"26565/18424/14175/14584/15277/54484",6
"GO:0033561","regulation of water loss via skin","3/67","37/29008",8.65011887434821e-05,0.00653392907830231,0.00438359407617345,"69073/214531/12740",3
"GO:0022603","regulation of anatomical structure morphogenesis","10/67","995/29008",9.07162452600962e-05,0.00661602961121047,0.00443867508568456,"21838/11535/18424/12176/76365/19415/12740/18787/15277/23892",10
"GO:0042592","homeostatic process","14/67","1904/29008",9.50529963750374e-05,0.00670123624444014,0.00449583996889651,"69073/14776/21838/11535/20512/26565/16948/12176/214531/17752/12740/15277/22695/14077",14
"GO:0006915","apoptotic process","14/67","1911/29008",9.88402732970511e-05,0.00674345735558913,0.00452416598996349,"15937/18778/18793/11535/22113/16948/12176/14175/18787/15277/235323/22695/23892/16842",14
