"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022008","neurogenesis","20/89","1879/29008",8.04843778761629e-07,0.000815350458362746,0.000638448738976005,"11923/14268/18424/235472/20732/18991/93742/50914/18013/18012/17242/20416/29875/12227/50913/320790/12891/15901/13723/246048",20
"GO:0042063","gliogenesis","9/89","344/29008",1.15428125721243e-06,0.000815350458362746,0.000638448738976005,"11923/14268/18424/20732/18991/93742/50914/17242/50913",9
"GO:0010001","glial cell differentiation","8/89","255/29008",1.22119389669907e-06,0.000815350458362746,0.000638448738976005,"11923/18424/20732/18991/93742/50914/17242/50913",8
"GO:0006518","peptide metabolic process","13/89","872/29008",2.55744069474738e-06,0.00128063842789475,0.00100278595662463,"50887/268449/66892/19165/27050/75705/54127/20425/225363/12227/353242/67204/22121",13
"GO:0030900","forebrain development","9/89","400/29008",3.96043204341179e-06,0.00146377272625791,0.00114618670001539,"18424/18991/19165/18012/17242/12227/50913/320790/65100",9
"GO:0060429","epithelium development","15/89","1227/29008",4.60217254501281e-06,0.00146377272625791,0.00114618670001539,"18424/240725/20732/18991/19165/93742/208177/12578/15404/18012/17242/320790/65100/15901/381157",15
"GO:0048699","generation of neurons","18/89","1750/29008",5.11553124503512e-06,0.00146377272625791,0.00114618670001539,"11923/14268/18424/235472/20732/50914/18013/18012/17242/20416/29875/12227/50913/320790/12891/15901/13723/246048",18
"GO:0006412","translation","11/89","676/29008",7.13640996272411e-06,0.00156411022129835,0.00122475456800827,"268449/66892/27050/75705/54127/20425/225363/12227/353242/67204/22121",11
"GO:0051960","regulation of nervous system development","10/89","550/29008",7.35677178887783e-06,0.00156411022129835,0.00122475456800827,"14268/235472/20732/93742/17242/50913/320790/26364/15901/246048",10
"GO:0001731","formation of translation preinitiation complex","3/89","13/29008",7.80883784971717e-06,0.00156411022129835,0.00122475456800827,"75705/67204/22121",3
"GO:0043043","peptide biosynthetic process","11/89","700/29008",9.89526801431063e-06,0.00180183834842402,0.00141090424318879,"268449/66892/27050/75705/54127/20425/225363/12227/353242/67204/22121",11
"GO:0002181","cytoplasmic translation","5/89","96/29008",1.19057748334126e-05,0.00187794366695299,0.00147049744528468,"75705/54127/225363/67204/22121",5
"GO:2000026","regulation of multicellular organismal development","16/89","1503/29008",1.21883513082321e-05,0.00187794366695299,0.00147049744528468,"14268/18424/240725/235472/20732/93742/208177/12578/15404/17242/20416/50913/320790/26364/15901/246048",16
"GO:0030182","neuron differentiation","16/89","1570/29008",2.08481143983715e-05,0.00298276950999559,0.00233561582357696,"11923/14268/18424/235472/50914/18013/18012/17242/20416/29875/12227/50913/12891/15901/13723/246048",16
"GO:0021542","dentate gyrus development","3/89","19/29008",2.61066973779819e-05,0.00318564303656381,0.00249447309271885,"18012/17242/12227",3
"GO:0043933","protein-containing complex subunit organization","16/89","1612/29008",2.87452559956787e-05,0.00318564303656381,0.00249447309271885,"14268/18424/268449/56419/19165/70556/27050/83796/75705/54127/26357/20425/225363/98878/67204/22121",16
"GO:0007155","cell adhesion","15/89","1438/29008",2.99580432495329e-05,0.00318564303656381,0.00249447309271885,"14268/235472/93742/208177/12578/14537/15404/17242/27050/20416/29875/17909/26364/13723/53599",15
"GO:0007417","central nervous system development","12/89","949/29008",3.28903647113117e-05,0.00318564303656381,0.00249447309271885,"18424/18991/19165/50914/18013/18012/17242/12227/50913/320790/65100/54135",12
"GO:0022610","biological adhesion","15/89","1451/29008",3.32274069739084e-05,0.00318564303656381,0.00249447309271885,"14268/235472/93742/208177/12578/14537/15404/17242/27050/20416/29875/17909/26364/13723/53599",15
"GO:0048598","embryonic morphogenesis","10/89","661/29008",3.55631386563011e-05,0.00318564303656381,0.00249447309271885,"14268/18424/240725/20732/19165/208177/15404/18012/320790/65100",10
"GO:0043603","cellular amide metabolic process","13/89","1119/29008",3.61966521722235e-05,0.00318564303656381,0.00249447309271885,"50887/268449/66892/19165/27050/75705/54127/20425/225363/12227/353242/67204/22121",13
"GO:0048666","neuron development","14/89","1292/29008",3.7754347823492e-05,0.00318564303656381,0.00249447309271885,"11923/14268/18424/235472/18013/18012/17242/20416/29875/12227/12891/15901/13723/246048",14
"GO:0043604","amide biosynthetic process","11/89","813/29008",3.91672498693362e-05,0.00318564303656381,0.00249447309271885,"268449/66892/27050/75705/54127/20425/225363/12227/353242/67204/22121",11
"GO:0022613","ribonucleoprotein complex biogenesis","8/89","412/29008",4.00653698106527e-05,0.00318564303656381,0.00249447309271885,"72462/268449/12578/75705/54127/320790/67204/22121",8
"GO:0098609","cell-cell adhesion","11/89","816/29008",4.04931701869454e-05,0.00318564303656381,0.00249447309271885,"14268/235472/93742/12578/14537/17242/27050/20416/17909/13723/53599",11
"GO:0051094","positive regulation of developmental process","15/89","1483/29008",4.2656013332145e-05,0.00318564303656381,0.00249447309271885,"11923/14268/18424/20732/208177/12578/18013/18012/17242/29875/50913/320790/26364/12891/246048",15
"GO:0007420","brain development","10/89","676/29008",4.29417683410997e-05,0.00318564303656381,0.00249447309271885,"18424/18991/19165/18013/18012/17242/12227/50913/320790/65100",10
"GO:0002183","cytoplasmic translational initiation","3/89","25/29008",6.11459990811025e-05,0.0043741227199803,0.00342509543724973,"75705/67204/22121",3
"GO:0010810","regulation of cell-substrate adhesion","6/89","226/29008",7.09414692041409e-05,0.00489985389020325,0.00383676185532377,"14268/208177/12578/15404/17242/29875",6
"GO:0050767","regulation of neurogenesis","8/89","451/29008",7.54307032197712e-05,0.00503625661830672,0.00394357009815646,"14268/235472/20732/17242/50913/320790/15901/246048",8
"GO:0060322","head development","10/89","734/29008",8.50934300977924e-05,0.00549813356406059,0.00430523636148423,"18424/18991/19165/18013/18012/17242/12227/50913/320790/65100",10
"GO:0065003","protein-containing complex assembly","14/89","1420/29008",0.000103828990522597,0.00649904587552379,0.00508898670653517,"14268/18424/268449/56419/19165/70556/27050/75705/54127/26357/20425/98878/67204/22121",14
"GO:0009887","animal organ morphogenesis","12/89","1131/29008",0.000173584504097446,0.0105360533850662,0.00825010880718326,"18424/240725/19165/12578/14537/15404/18012/17242/320790/15901/381157/22121",12
"GO:0000902","cell morphogenesis","12/89","1135/29008",0.000179337269532594,0.0105650750256996,0.008272833795776,"14268/18424/235472/93742/17242/29875/17909/12891/15901/269587/13723/246048",12
"GO:0022618","ribonucleoprotein complex assembly","5/89","171/29008",0.000186827349179135,0.0106918622973088,0.00837211279028304,"268449/75705/54127/67204/22121",5
"GO:0030029","actin filament-based process","10/89","814/29008",0.000197335139142938,0.0109795078806473,0.00859734962932681,"56419/93742/208177/17242/20416/215280/29875/15901/269587/68794",10
"GO:0001953","negative regulation of cell-matrix adhesion","3/89","38/29008",0.000217896849088271,0.0117958753709137,0.0092365947408684,"208177/12578/15404",3
"GO:0071826","ribonucleoprotein complex subunit organization","5/89","178/29008",0.000225052467497702,0.011862634010471,0.00928886915710735,"268449/75705/54127/67204/22121",5
"GO:0022603","regulation of anatomical structure morphogenesis","11/89","995/29008",0.000232462266317864,0.0119390235752482,0.00934868493424067,"14268/18424/240725/208177/17242/20416/17909/12891/15901/269587/246048",11
"GO:0048729","tissue morphogenesis","9/89","688/29008",0.000264654575925024,0.012944362389097,0.0101359013898912,"240725/20732/93742/208177/14537/17242/320790/65100/381157",9
"GO:0045165","cell fate commitment","6/89","288/29008",0.000264961985997492,0.012944362389097,0.0101359013898912,"11923/18424/19165/50914/18012/50913",6
"GO:0032989","cellular component morphogenesis","10/89","848/29008",0.000273573514297984,0.0130468511699729,0.0102161537920801,"14268/18424/235472/208177/17242/29875/12891/15901/13723/246048",10
"GO:0007010","cytoskeleton organization","13/89","1406/29008",0.000349866293367858,0.0162972601306005,0.0127613409331238,"56419/68617/93742/208177/17242/27050/20416/215280/29875/15901/269587/434130/329366",13
"GO:0009890","negative regulation of biosynthetic process","14/89","1602/29008",0.000360069138860024,0.0163913292076507,0.0128350004043406,"14268/18991/14536/19165/104383/12578/15404/27050/20416/20425/12227/50913/15901/22121",14
"GO:0048858","cell projection morphogenesis","9/89","730/29008",0.000407583315695893,0.018141986251975,0.0142058278453071,"14268/18424/235472/17242/29875/12891/15901/13723/246048",9
"GO:0048709","oligodendrocyte differentiation","4/89","116/29008",0.000456160533387187,0.019260889207883,0.01508196910936,"18424/50914/17242/50913",4
"GO:0006413","translational initiation","4/89","117/29008",0.000471209498210053,0.019260889207883,0.01508196910936,"66892/75705/67204/22121",4
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process","15/89","1847/29008",0.000472567336864287,0.019260889207883,0.01508196910936,"18424/72462/18991/14536/18521/12578/18013/15404/20020/18012/17242/27050/20416/12227/320790",15
"GO:0021782","glial cell development","4/89","119/29008",0.000502363834400848,0.019260889207883,0.01508196910936,"18991/93742/50914/17242",4
"GO:0035881","amacrine cell differentiation","2/89","11/29008",0.000502803513904607,0.019260889207883,0.01508196910936,"11923/18012",2
"GO:0051240","positive regulation of multicellular organismal process","14/89","1657/29008",0.000504681416726637,0.019260889207883,0.01508196910936,"14268/18424/240725/20732/19165/93742/17242/27050/20416/50913/320790/58869/26364/246048",14
"GO:0060284","regulation of cell development","8/89","598/29008",0.000508297532723561,0.019260889207883,0.01508196910936,"14268/235472/20732/17242/50913/320790/15901/246048",8
"GO:0032990","cell part morphogenesis","9/89","753/29008",0.000509649090373339,0.019260889207883,0.01508196910936,"14268/18424/235472/17242/29875/12891/15901/13723/246048",9
"GO:0045595","regulation of cell differentiation","14/89","1672/29008",0.000551834926342545,0.0204689881011873,0.0160279540009823,"11923/14268/235472/20732/208177/12578/18013/15404/18012/17242/50913/320790/15901/246048",14
"GO:0051254","positive regulation of RNA metabolic process","14/89","1677/29008",0.000568367305044125,0.0205869577430113,0.0161203284741766,"18424/72462/18991/14536/18521/12578/18013/15404/20020/18012/17242/20416/12227/320790",14
"GO:2000113","negative regulation of cellular macromolecule biosynthetic process","13/89","1482/29008",0.000575571459614895,0.0205869577430113,0.0161203284741766,"18991/14536/19165/104383/12578/15404/27050/20416/20425/12227/50913/15901/22121",13
"GO:0009790","embryo development","12/89","1297/29008",0.000598012497624688,0.0210128667949964,0.0164538305828335,"14268/18424/240725/20732/19165/208177/15404/18012/26357/320790/65100/67204",12
"GO:0022037","metencephalon development","4/89","126/29008",0.000622986378653568,0.0210128667949964,0.0164538305828335,"18424/18013/18012/17242",4
"GO:0010558","negative regulation of macromolecule biosynthetic process","13/89","1498/29008",0.00063627510814098,0.0210128667949964,0.0164538305828335,"18991/14536/19165/104383/12578/15404/27050/20416/20425/12227/50913/15901/22121",13
"GO:0044058","regulation of digestive system process","3/89","55/29008",0.000652598685124528,0.0210128667949964,0.0164538305828335,"18012/26357/269587",3
"GO:0045687","positive regulation of glial cell differentiation","3/89","55/29008",0.000652598685124528,0.0210128667949964,0.0164538305828335,"20732/17242/50913",3
"GO:0007160","cell-matrix adhesion","5/89","225/29008",0.000656706983277164,0.0210128667949964,0.0164538305828335,"14268/208177/12578/15404/29875",5
"GO:0001952","regulation of cell-matrix adhesion","4/89","128/29008",0.000660913933142673,0.0210128667949964,0.0164538305828335,"208177/12578/15404/29875",4
"GO:0031175","neuron projection development","11/89","1132/29008",0.000687188455201211,0.0215068511838754,0.0168406381291086,"14268/18424/235472/17242/20416/29875/12227/12891/15901/13723/246048",11
"GO:0009952","anterior/posterior pattern specification","5/89","232/29008",0.000753730168480226,0.0231026361907273,0.018090195193622,"18424/19165/15404/18012/12227",5
"GO:0040011","locomotion","15/89","1934/29008",0.000761245126604095,0.0231026361907273,0.018090195193622,"11923/14268/18424/240725/235472/19165/93742/208177/14537/15404/17242/29875/17909/13723/22121",15
