"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022008","neurogenesis","22/56","1879/29008",1.58336798715019e-12,8.98265581064496e-10,6.52219994885717e-10,"18096/16869/23964/20689/270190/235106/12661/20745/17760/226251/235402/16873/19266/15410/227325/22240/270120/18481/384569/18163/13048/29877",22
"GO:0048666","neuron development","19/56","1292/29008",1.64164294109363e-12,8.98265581064496e-10,6.52219994885717e-10,"18096/16869/23964/20689/270190/235106/12661/20745/17760/226251/235402/19266/22240/270120/18481/384569/18163/13048/29877",19
"GO:0031175","neuron projection development","18/56","1132/29008",2.00954268694518e-12,8.98265581064496e-10,6.52219994885717e-10,"18096/16869/23964/270190/235106/12661/20745/17760/226251/235402/19266/22240/270120/18481/384569/18163/13048/29877",18
"GO:0048699","generation of neurons","21/56","1750/29008",3.81530406474985e-12,1.27908068770739e-09,9.28725331550951e-10,"18096/16869/23964/20689/270190/235106/12661/20745/17760/226251/235402/16873/19266/15410/22240/270120/18481/384569/18163/13048/29877",21
"GO:0030182","neuron differentiation","20/56","1570/29008",4.97912908000301e-12,1.33540241925681e-09,9.6961987347427e-10,"18096/16869/23964/20689/270190/235106/12661/20745/17760/226251/235402/16873/19266/22240/270120/18481/384569/18163/13048/29877",20
"GO:0120036","plasma membrane bounded cell projection organization","18/56","1630/29008",7.79075794867833e-10,1.74123440152961e-07,1.26428966711008e-07,"18096/16869/23964/270190/235106/12661/20745/17760/226251/235402/19266/22240/270120/18481/384569/18163/13048/29877",18
"GO:0030030","cell projection organization","18/56","1677/29008",1.22555691995975e-09,2.3478168995229e-07,1.70472203152296e-07,"18096/16869/23964/270190/235106/12661/20745/17760/226251/235402/19266/22240/270120/18481/384569/18163/13048/29877",18
"GO:0050808","synapse organization","11/56","489/29008",2.09980611166721e-09,3.51979999468215e-07,2.55568507012127e-07,"270190/13004/234214/18191/269788/233878/19266/18481/18163/13048/12298",11
"GO:0048667","cell morphogenesis involved in neuron differentiation","12/56","657/29008",3.70675522272659e-09,5.52306528186262e-07,4.01023225850537e-07,"18096/16869/23964/270190/12661/17760/226251/19266/18481/384569/18163/13048",12
"GO:0000904","cell morphogenesis involved in differentiation","13/56","828/29008",4.62843682698033e-09,6.20673378498062e-07,4.50663585784927e-07,"18096/16869/23964/270190/12661/17760/226251/19266/270120/18481/384569/18163/13048",13
"GO:0048812","neuron projection morphogenesis","12/56","710/29008",8.78687579292881e-09,1.07120003984705e-06,7.77785656311881e-07,"18096/16869/23964/270190/12661/17760/226251/19266/18481/384569/18163/13048",12
"GO:0120039","plasma membrane bounded cell projection morphogenesis","12/56","725/29008",1.10752451762384e-08,1.23263991430227e-06,8.95005236256993e-07,"18096/16869/23964/270190/12661/17760/226251/19266/18481/384569/18163/13048",12
"GO:0048858","cell projection morphogenesis","12/56","730/29008",1.19495293705663e-08,1.23263991430227e-06,8.95005236256993e-07,"18096/16869/23964/270190/12661/17760/226251/19266/18481/384569/18163/13048",12
"GO:0032990","cell part morphogenesis","12/56","753/29008",1.68263156373899e-08,1.61172066212427e-06,1.17025127553276e-06,"18096/16869/23964/270190/12661/17760/226251/19266/18481/384569/18163/13048",12
"GO:0032989","cellular component morphogenesis","12/56","848/29008",6.17467892859512e-08,5.52016296216404e-06,4.00812491856175e-06,"18096/16869/23964/270190/12661/17760/226251/19266/18481/384569/18163/13048",12
"GO:0007267","cell-cell signaling","16/56","1728/29008",1.00457348910826e-07,8.41958155558858e-06,6.11335840411275e-06,"18096/16869/23964/270190/70122/234214/18191/16873/319478/19266/18163/13048/12308/72125/14800/12298",16
"GO:0099173","postsynapse organization","7/56","204/29008",1.3291796131956e-07,1.04848815370312e-05,7.61294824895314e-06,"270190/234214/269788/19266/18481/18163/13048",7
"GO:0021953","central nervous system neuron differentiation","7/56","207/29008",1.46790115420499e-07,1.09358635988272e-05,7.94040098034864e-06,"18096/16869/270190/20745/235402/16873/384569",7
"GO:0000902","cell morphogenesis","13/56","1135/29008",1.85779240314178e-07,1.28444644944743e-05,9.32621347571627e-06,"18096/16869/23964/270190/12661/17760/226251/19266/270120/18481/384569/18163/13048",13
"GO:0034330","cell junction organization","11/56","761/29008",1.91565465987686e-07,1.28444644944743e-05,9.32621347571627e-06,"270190/13004/234214/18191/269788/233878/19266/18481/18163/13048/12298",11
"GO:0007417","central nervous system development","12/56","949/29008",2.07941147410718e-07,1.32785275560844e-05,9.64138152154957e-06,"114142/18096/16869/20689/270190/13004/20745/233878/235402/16873/15410/384569",12
"GO:0007409","axonogenesis","9/56","487/29008",3.70340360118142e-07,2.2573928314474e-05,1.63906618712575e-05,"18096/16869/23964/270190/12661/17760/226251/18481/384569",9
"GO:0061564","axon development","9/56","530/29008",7.49006169681493e-07,4.36703162409949e-05,3.17084991741593e-05,"18096/16869/23964/270190/12661/17760/226251/18481/384569",9
"GO:0030902","hindbrain development","6/56","179/29008",1.27593909906886e-06,7.12930971604725e-05,5.17650730981883e-05,"114142/16869/270190/233878/16873/15410",6
"GO:0048813","dendrite morphogenesis","6/56","186/29008",1.5947509409922e-06,8.55424404748214e-05,6.21113524386434e-05,"270190/17760/19266/18481/18163/13048",6
"GO:0016358","dendrite development","7/56","313/29008",2.34793959180904e-06,0.000121099499715997,8.79289118390026e-05,"270190/17760/19266/270120/18481/18163/13048",7
"GO:0007155","cell adhesion","13/56","1438/29008",2.65584843415502e-06,0.000131907138896366,9.57762105884363e-05,"239857/23964/270190/214058/235106/12661/13004/20745/268890/18191/19266/270120/18163",13
