run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community
1	516	Shox2	0.1436893203883495	0.0004911034717237731	0.258252427184466	0.010400060443504212	2
1	516	Unc5c	0.1262135922330097	0.0006044350421215669	0.19223300970873786	0.007517660836386989	2
1	516	Tgfb1i1	0.1553398058252427	0.003804163046352612	0.18640776699029127	0.014325110498281137	0
1	516	Chst2	0.14951456310679612	0.0027879566317857278	0.22524271844660193	0.018287937743190662	0
1	516	Foxp1	0.12815533980582525	0.0020701900192663667	0.14563106796116504	0.007457217332174832	0
1	516	Mfng	0.1029126213592233	0.0015261984813569566	0.1029126213592233	0.004253711608930528	0
1	516	Car3	0.12233009708737863	0.0021570775565713423	0.13009708737864076	0.007838766952514072	0
1	516	Kcnip3	0.170873786407767	0.0035057232443050884	0.21359223300970873	0.019005704355710022	0
1	516	Kcnj12	0.11844660194174757	0.0034868346492387893	0.17669902912621357	0.020006799894223867	0
1	516	Kcnq4	0.1145631067961165	0.002432851044539307	0.12233009708737863	0.011102716179970534	0
1	516	Tpm2	0.13592233009708737	0.0029919534585017564	0.14757281553398058	0.0087945298628688	0
1	516	Tlx3	0.0970873786407767	0.00030221752106078347	0.1786407766990291	0.012916021306335235	2
1	516	Nefm	0.038834951456310676	0.00014733104151713194	0.07766990291262135	0.005247251709417853	2
1	516	Ubash3b	0.07766990291262135	0.0006384345132409051	0.18446601941747573	0.010403838162517472	0
1	516	Pou6f2	0.11650485436893203	0.0006157681991613463	0.16116504854368932	0.004911034717237732	2
1	516	Plcxd3	0.1029126213592233	0.0007630992406784783	0.18640776699029127	0.015341316912848022	3
1	516	Kcnab1	0.08932038834951456	0.0004042159344187979	0.170873786407767	0.010218729930867742	3
1	516	Ccdc187	0.02524271844660194	0.00019644138868950926	0.02524271844660194	0.0003513278682331608	0
1	516	Vgll2	0.1320388349514563	0.0025121831438177627	0.15728155339805824	0.01521287446639719	0
1	516	Eya1	0.11067961165048543	0.001832193721431	0.21359223300970873	0.020354350043443766	0
1	516	Phox2a	0.10097087378640776	0.0009859846624608061	0.15339805825242717	0.010143175550602545	2
1	516	Isl1	0.06407766990291262	0.0005251029428431113	0.13592233009708737	0.00494881190737033	0
1	516	Plxna4	0.15728155339805824	0.0010728721997657813	0.2796116504854369	0.0230667522949643	2
1	516	Mthfd2	0.1087378640776699	0.0010842053568055608	0.11650485436893203	0.004929923312304031	0
1	516	Tfap2b	0.07766990291262135	0.0001171092894110536	0.1941747572815534	0.003932605492803445	3
1	516	Cadps2	0.12427184466019417	0.0009746515054210267	0.1436893203883495	0.006191681462732802	2
1	516	Timp3	0.07961165048543689	0.002047523705186808	0.08155339805825243	0.006263458123984738	0
1	516	Gpr20	0.0854368932038835	0.0006346567942276453	0.09514563106796116	0.0018624154735370783	0
1	516	Tub	0.06601941747572815	0.00036266102527294017	0.11067961165048543	0.008700086887537305	3
1	516	Ncoa7	0.07961165048543689	0.0007328774885723999	0.1941747572815534	0.009905179252767179	3
1	516	Cyfip2	0.058252427184466014	0.0002833289259944845	0.10679611650485436	0.0030146197725813154	3
1	516	Plk3	0.05436893203883495	0.0016319746137282308	0.058252427184466014	0.004287711080049866	0
1	516	Mtcl1	0.058252427184466014	0.0012693135884552906	0.058252427184466014	0.0025348494578973217	0
1	516	Sept11	0.06019417475728155	0.0006233236371878659	0.06601941747572815	0.003037286086660874	0
1	516	Met	0.062135922330097085	0.0005742132900154886	0.1145631067961165	0.003981715839975823	2
1	516	Ablim1	0.06019417475728155	0.0003551055872464206	0.12815533980582525	0.005322806089683049	2
1	516	Mapk8	0.040776699029126215	0.000328661554153602	0.07378640776699029	0.002803067507838767	2
1	516	Zdbf2	0.07961165048543689	0.0004608817196176948	0.16116504854368932	0.009973178195005854	3
1	516	Gm43712	0.07378640776699029	0.0010275395716066638	0.07961165048543689	0.004291488799063125	0
1	516	Skap2	0.11262135922330097	0.0022364096558497976	0.16504854368932037	0.01300290884364021	0
1	516	Snx18	0.11844660194174757	0.0027879566317857278	0.1203883495145631	0.010199841335801443	0
1	516	Rims3	0.029126213592233007	0.0002304408598088474	0.07184466019417475	0.0011106493898983792	3
1	516	Scrn1	0.0912621359223301	0.0002871066450077443	0.1825242718446602	0.01099694004759926	3
1	516	Mapk8ip2	0.1320388349514563	0.0008575422160099731	0.170873786407767	0.005198141362245476	2
1	516	Rbms3	0.11844660194174757	0.0011673151750972762	0.19029126213592232	0.0066034528351781195	2
1	516	Madd	0.06990291262135923	0.0001171092894110536	0.0912621359223301	0.0019681916059083523	2
1	516	Islr2	0.08349514563106795	0.0003324392731668618	0.1436893203883495	0.007551660307506328	3
1	516	Pik3cd	0.15339805825242717	0.001684862679913868	0.2349514563106796	0.010898719353254505	2
1	516	Ntrk2	0.13980582524271845	0.0005364360998828906	0.20194174757281552	0.005802576404367043	2
1	516	Arx	0.0854368932038835	0.0022250764988100183	0.0970873786407767	0.007419440142042235	0
1	516	Lrfn5	0.11067961165048543	0.0035963885006233235	0.16116504854368932	0.013573344414642438	1
1	516	Gria2	0.05631067961165048	0.001609308299648672	0.11067961165048543	0.01281402289297722	1
1	516	Slco3a1	0.029126213592233007	8.310981829171545e-05	0.07572815533980583	0.002232631936836538	0
1	516	Ksr2	0.06407766990291262	0.0005364360998828906	0.1553398058252427	0.006935892108344981	3
1	516	Eps15	0.02524271844660194	0.00021910770276906802	0.040776699029126215	0.001352423406747006	2
1	516	Nrg1	0.05048543689320388	0.00018510823164972988	0.0854368932038835	0.0027426240036266102	0
