run	nodes	geneid	community
1	392	Zic5	1
1	392	Gm25636	1
1	392	Ehd4	1
1	392	Pkib	1
1	392	Rhox9	2
1	392	Krt7	2
1	392	Id3	1
1	392	Sdc2	1
1	392	Emb	1
1	392	F2rl1	1
1	392	Trim12c	1
1	392	Pgam2	2
1	392	B4galt1	2
1	392	Plk3	1
1	392	Gjb3	2
1	392	Usp2	2
1	392	Stra8	0
1	392	Ccdc187	1
1	392	Parp12	0
1	392	Gadd45g	0
1	392	Rassf4	1
1	392	Prlr	2
1	392	Arpc1b	2
1	392	Gjb5	2
1	392	Mpzl2	2
1	392	Abracl	1
1	392	Flnc	1
1	392	Phf19	0
1	392	Ptgr1	0
1	392	Krt19	2
1	392	Esx1	2
1	392	Sfmbt2	2
1	392	Foxp1	1
1	392	Cdh1	0
1	392	Cald1	2
1	392	Arx	1
1	392	Cited4	0
1	392	Atp6v0e	0
1	392	Neurl1b	2
1	392	Cebpa	2
1	392	Msx3	2
1	392	Frzb	0
1	392	Klhl21	0
1	392	Ung	0
1	392	H19	2
1	392	Rhox5	2
1	392	Dusp14	0
1	392	Kcnk12	0
1	392	Ascl2	2
1	392	Hspb1	2
1	392	Hand1	2
1	392	Bex1	0
1	392	Tfap2c	2
1	392	Elf3	2
1	392	Hadh	1
1	392	Epcam	1
1	392	Nqo1	0
1	392	Arhgap29	1
1	392	Actn1	0
1	392	Etl4	0
1	392	Ammecr1	1
1	392	Ctsc	1
1	392	Sulf1	1
1	392	Rbpms	1
1	392	Synpo2l	1
1	392	Pmaip1	1
1	392	Cd164	0
1	392	Mbnl3	2
1	392	Tubb6	1
1	392	Dll3	1
1	392	Swt1	1
1	392	Sox1	1
1	392	Gm37120	1
1	392	Pou3f1	1
1	392	Grb7	0
1	392	Tcf15	0
1	392	Eppk1	2
1	392	Spint1	0
1	392	Nbl1	0
1	392	Mfng	0
1	392	Smagp	2
1	392	Myo10	1
1	392	Id1	0
1	392	Sox3	1
1	392	Sh3pxd2b	0
1	392	Nrarp	1
1	392	Rcor2	1
1	392	Snora30	1
1	392	Ajuba	0
1	392	Hmgb2	1
1	392	Abcg2	1
1	392	Snora73b	1
1	392	Id2	0
1	392	Anxa4	0
1	392	Myof	0
1	392	Gm43712	1
1	392	Lsr	0
1	392	Mbp	1
1	392	Rps28	0
1	392	Zcchc24	1
