run	nodes	geneid	community
1	654	Tpm2	0
1	654	Pdlim3	0
1	654	Epha6	1
1	654	Ablim1	1
1	654	Mab21l2	1
1	654	Pcdh11x	1
1	654	Tlx2	2
1	654	Map1a	2
1	654	Atp2b4	2
1	654	Kcnj12	2
1	654	Tmem255a	1
1	654	Unc5c	1
1	654	Shox2	1
1	654	Eya1	2
1	654	2010111I01Rik	2
1	654	Gm33167	1
1	654	Tlx3	1
1	654	Chrnb4	2
1	654	2900026A02Rik	0
1	654	Cldn5	0
1	654	Maoa	1
1	654	Gap43	1
1	654	Hspa12a	1
1	654	Phox2b	1
1	654	Cntn2	0
1	654	AI661453	0
1	654	Adamts16	0
1	654	Clvs1	2
1	654	Plxna4	1
1	654	Lrrc8d	0
1	654	Lbh	1
1	654	Srrm3	2
1	654	Tagln3	1
1	654	Pou3f1	0
1	654	Hrc	0
1	654	Ppl	0
1	654	Dbh	2
1	654	Mat1a	0
1	654	Mbp	0
1	654	Eps15	1
1	654	Syn2	1
1	654	B3gat1	1
1	654	Chgb	2
1	654	Pou6f2	1
1	654	Dclk1	1
1	654	Phox2a	1
1	654	Anxa4	0
1	654	Ccdc136	0
1	654	Tmem38a	2
1	654	Ubash3b	2
1	654	Chd7	0
1	654	Pik3cd	1
1	654	5031439G07Rik	2
1	654	Epb41l3	2
1	654	Cacnb4	1
1	654	Nrp1	2
1	654	Six3	2
1	654	Tuba1a	1
1	654	Rbms3	1
1	654	Stra8	0
1	654	Kcnab1	2
1	654	Slc45a1	2
1	654	Prrxl1	1
1	654	Celsr1	0
1	654	Tpm1	0
1	654	Prox1	2
1	654	Ntrk2	1
1	654	Cyba	0
1	654	Slc5a5	0
1	654	Cldn3	0
1	654	Dlx6os1	1
1	654	Rassf4	0
1	654	Cplx2	0
1	654	Nefm	1
1	654	Resp18	2
1	654	Hist3h2ba	2
1	654	Krt8	0
1	654	F2rl1	0
1	654	Nefl	1
1	654	Cldn6	0
1	654	Wdr86	0
1	654	Ammecr1	0
1	654	Pcsk9	0
1	654	Sort1	2
1	654	Klf7	1
1	654	Zdbf2	2
1	654	Scrn1	2
1	654	Tram1l1	1
1	654	Tfap2b	2
1	654	Unc45b	0
1	654	Isl1	2
1	654	Trim12c	0
1	654	Ptpn5	2
1	654	Grm5	2
1	654	Armh4	1
1	654	Syt1	1
1	654	Tmprss13	3
1	654	Ly6a	3
1	654	Dkk2	3
1	654	Rab25	3
1	654	Celf3	1
1	654	Id2	0
1	654	Ak3	0
1	654	Marveld2	0
1	654	Tub	2
1	654	Nsg1	1
1	654	Vwf	3
1	654	Tbx18	3
1	654	Cdh2	1
