run	nodes	geneid	community
1	430	Calm1	1
1	430	Tff3	1
1	430	Eif4e3	1
1	430	Dcaf12l1	1
1	430	Srrm4	1
1	430	Slc1a2	1
1	430	Dcdc2a	1
1	430	Ssu2	1
1	430	Sfrp2	0
1	430	Igdcc3	0
1	430	Cplx2	1
1	430	Eef2k	1
1	430	Pax6	0
1	430	Pcdh8	0
1	430	Pou3f3	0
1	430	Nr2f1	0
1	430	Chd7	1
1	430	Hmgn5	1
1	430	Efnb1	1
1	430	Frrs1l	1
1	430	Pou3f1	1
1	430	Gm45060	1
1	430	Halr1	1
1	430	Slc22a23	1
1	430	Greb1	0
1	430	Tada1	0
1	430	Kpna4	1
1	430	Vegfc	1
1	430	Rai14	1
1	430	Nuak1	0
1	430	Vxn	0
1	430	Pou3f2	0
1	430	Trap1a	1
1	430	Sulf1	1
1	430	Hoxb2	0
1	430	Mn1	0
1	430	Rgma	0
1	430	Id4	0
1	430	Lgi4	0
1	430	Ccdc177	0
1	430	Ly6h	0
1	430	Lhx5	0
1	430	Sh3rf1	0
1	430	Cit	1
1	430	Spsb4	0
1	430	Scn8a	1
1	430	Ebf2	1
1	430	Palld	0
1	430	Ak3	0
1	430	Rassf4	1
1	430	Dach1	0
1	430	Zfp516	0
1	430	Plcg2	1
1	430	Glra1	0
1	430	Iqgap1	1
1	430	Slc12a1	0
1	430	Sh3pxd2b	0
1	430	Zfp521	0
1	430	Rbpms2	1
1	430	Fam178b	1
1	430	Zfp629	0
1	430	Vangl2	0
1	430	Cdh2	0
1	430	Lef1	1
1	430	Cdip1	0
1	430	Pmaip1	1
1	430	Tox3	0
1	430	4930578M01Rik	0
1	430	F2rl1	1
1	430	Zbtb5	0
1	430	Fignl2	0
1	430	Cxxc4	0
1	430	Fat3	0
1	430	Ube2e3	0
1	430	Cyp51	1
1	430	Scube1	0
1	430	Plekho1	0
1	430	Skida1	0
1	430	Midn	0
1	430	Mapre1	1
1	430	Smad3	0
1	430	Zfp703	0
1	430	5930412G12Rik	0
1	430	Id1	1
1	430	Phf21b	0
1	430	Tenm4	0
1	430	Bhlhe23	0
1	430	Rnf165	1
1	430	Marcks	0
1	430	Zfp423	0
1	430	Zfp113	0
1	430	Zeb1	1
1	430	Ddx5	1
1	430	Zfp821	0
1	430	Fign	0
1	430	Hs6st1	1
1	430	Spast	0
1	430	Ammecr1	1
1	430	Rnf122	0
1	430	Auts2	0
1	430	Meis1	0
1	430	Crabp1	0
1	430	Mex3a	1
1	430	Phlda1	0
1	430	Sqle	0
1	430	Pogk	0
1	430	Pik3r3	0
1	430	Msl1	0
1	430	Slc35f1	0
1	430	Bcorl1	0
1	430	Ctps	0
1	430	Ephb1	0
1	430	Nkx6-1	0
1	430	Mllt3	0
1	430	Sall3	0
1	430	1110051M20Rik	0
1	430	Igfbpl1	0
1	430	Dbn1	0
1	430	Klf7	1
1	430	Zfp618	1
1	430	Cd24a	0
1	430	Cd164	1
1	430	Meis2	0
1	430	Mageh1	0
1	430	Lhx9	0
1	430	Reep3	0
1	430	Lzts1	1
1	430	Id2	1
1	430	Mxd4	0
1	430	Gm20501	0
1	430	1700025G04Rik	0
1	430	Ncald	0
1	430	Bex2	1
1	430	Maged1	0
1	430	Srgap3	0
1	430	Pcsk9	1
1	430	H19	0
1	430	Tbrg1	1
1	430	Gdf11	0
1	430	Tpd52	1
1	430	Dpysl2	0
1	430	Pbx1	0
1	430	Tubb3	1
1	430	9330159F19Rik	0
1	430	Hoxb8	0
1	430	Lmo7	1
1	430	Sorbs2	0
1	430	Aff3	0
1	430	Cacng4	0
1	430	Olfm2	0
1	430	Sfmbt2	1
1	430	Cdh6	0
1	430	Dvl3	0
1	430	Hdgfl3	0
1	430	Csnk1d	0
1	430	Mt1	1
1	430	Hsd11b2	0
1	430	Tceal9	0
1	430	Elavl4	0
1	430	Cbx8	0
1	430	Fam19a4	1
1	430	Csrnp3	0
1	430	Dusp26	0
1	430	Nova2	0
1	430	Trove2	0
1	430	Ssbp3	1
1	430	Arnt2	0
1	430	Lmo3	0
1	430	Kcnk2	0
1	430	Zfp811	0
1	430	Tuba1a	1
1	430	Foxp2	1
1	430	Evx2	0
1	430	Sox4	0
1	430	Lhfpl4	0
1	430	Pafah1b2	0
1	430	Tmem35a	0
1	430	Krt19	1
1	430	AU040320	0
1	430	Pcsk2	1
1	430	Brsk2	1
1	430	Ptpn1	0
1	430	Zswim8	0
1	430	Maoa	0
1	430	Tpm1	1
1	430	Pax9	1
1	430	Olfm1	0
1	430	Flrt3	0
1	430	Myh9	1
1	430	Fstl3	0
1	430	Ctnnd2	0
1	430	Elavl2	1
1	430	Vopp1	0
1	430	Afap1	1
1	430	Sort1	0
1	430	Celf2	0
1	430	Rprm	0
1	430	Scg5	1
1	430	Clvs1	1
1	430	Nrep	0
1	430	Sema3f	0
1	430	Nnat	1
1	430	Thsd7b	0
1	430	Rbfox3	0
1	430	Satb1	0
1	430	Mt2	1
1	430	Tubb2b	0
1	430	Itga3	0
1	430	Elavl3	1
1	430	Fam171a1	0
1	430	Zdbf2	1
1	430	Sept3	0
1	372	Calm1	1
1	372	Tff3	1
1	372	Eif4e3	1
1	372	Dcaf12l1	1
1	372	Srrm4	1
1	372	Slc1a2	1
1	372	Dcdc2a	1
1	372	Ssu2	1
1	372	Sfrp2	0
1	372	Igdcc3	0
1	372	Cplx2	1
1	372	Eef2k	1
1	372	Pax6	0
1	372	Pcdh8	0
1	372	Pou3f3	0
1	372	Nr2f1	0
1	372	Chd7	1
1	372	Hmgn5	1
1	372	Efnb1	1
1	372	Frrs1l	1
1	372	Pou3f1	1
1	372	Gm45060	1
1	372	Halr1	1
1	372	Slc22a23	1
1	372	Greb1	0
1	372	Tada1	0
1	372	Kpna4	1
1	372	Vegfc	1
1	372	Rai14	1
1	372	Nuak1	0
1	372	Vxn	0
1	372	Pou3f2	0
1	372	Trap1a	1
1	372	Sulf1	1
1	372	Hoxb2	0
1	372	Mn1	0
1	372	Phldb2	0
