run	nodes	geneid	community
1	641	Nog	0
1	641	Lhx9	0
1	641	Calm1	3
1	641	Gm45060	3
1	641	Tpd52	3
1	641	Pnma5	3
1	641	Pou3f1	3
1	641	Eif4e3	3
1	641	Grasp	4
1	641	Fgf3	4
1	641	Nhlh1	4
1	641	Tff3	3
1	641	Eef2k	3
1	641	Lhx2	4
1	641	Neurod2	4
1	641	Chd7	3
1	641	Cpne6	4
1	641	Hmgn5	3
1	641	Efnb1	3
1	641	Rai14	3
1	641	Cplx2	3
1	641	Halr1	3
1	641	Cit	3
1	641	Dcdc2a	3
1	641	Frrs1l	3
1	641	Vegfc	3
1	641	Olig2	4
1	641	Tubb3	4
1	641	Hoxb8	4
1	641	Neurod1	4
1	641	Crabp1	4
1	641	Sst	4
1	641	Sulf1	3
1	641	Esrrg	0
1	641	Thsd7b	4
1	641	Ppp1r17	4
1	641	Ebf2	3
1	641	2900052N01Rik	4
1	641	Chst8	4
1	641	S100a10	4
1	641	Zfp516	0
1	641	Slc22a23	3
1	641	Ssu2	3
1	641	St6galnac5	2
1	641	Sez6l2	2
1	641	Bhlhe23	4
1	641	Dcaf12l1	3
1	641	Mllt3	2
1	641	Lhx1	2
1	641	Ephb1	2
1	641	Ptprs	4
1	641	Sobp	2
1	641	Slc35f1	2
1	641	Hoxc4	2
1	641	Pax9	0
1	641	Palld	4
1	641	Nrp1	0
1	641	Pou4f1	0
1	641	Nefm	0
1	641	1700025G04Rik	0
1	641	Tagln3	0
1	641	Otx2	3
1	641	Epb41	4
1	641	5930412G12Rik	4
1	641	Xlr4b	3
1	641	Unc5c	0
1	641	Pdzph1	3
1	641	Trap1a	3
1	641	Amer2	2
1	641	Sox6	4
1	641	Dhfr	3
1	641	Iqgap1	3
1	641	Greb1l	0
1	641	Spsb4	3
1	641	Gfra1	0
1	641	Armh4	0
1	641	Evx2	0
1	641	Tubb2a	2
1	641	Phlda1	0
1	641	2510009E07Rik	0
1	641	Nefl	0
1	641	Lgi4	4
1	641	Sall3	2
1	641	Ajap1	0
1	641	Aff3	0
1	641	Slc12a1	4
1	641	Ngfr	0
1	641	Cyp51	3
1	641	Cartpt	0
1	641	Slc1a2	3
1	641	Ebf1	0
1	641	Megf11	2
1	641	Cadm1	4
1	641	Ntm	2
1	641	Tenm2	2
1	641	Skor1	2
1	641	Stmn2	0
1	641	Rgmb	0
1	641	Srrm4	3
1	641	Nkx6-1	2
1	641	Rassf4	3
1	641	Kpna4	3
1	641	Lef1	3
1	641	Iqgap2	3
1	641	Lrrn3	0
1	641	Lingo1	2
1	641	Pcsk2	4
1	641	St8sia3	0
1	641	Tlx3	0
1	641	Calb2	2
1	641	Gria2	2
1	641	Foxp2	2
1	641	Maf	2
1	641	Lmo3	0
1	641	Map3k13	4
1	641	Slc32a1	2
1	641	F2rl1	3
1	641	Apba2	4
1	641	Skida1	2
1	641	Rasl11b	4
1	641	Robo3	4
1	641	Ube2e3	2
1	641	Slc17a6	0
1	641	Sh3rf1	2
1	641	Ammecr1	3
1	641	Rprm	2
1	641	Olig1	4
1	641	Enox2	4
1	641	Kif5c	0
1	641	Dusp26	4
1	641	Ephb2	0
1	641	Pcdhb22	0
1	641	Nucks1	3
1	641	Cd47	0
1	641	Ttc3	2
1	641	Map6	2
1	641	Chl1	2
1	641	Igfbpl1	4
1	641	Draxin	4
1	641	Cacnb4	2
1	641	Gm20501	4
1	641	Nrcam	0
1	641	Ctnna2	2
1	641	Ptprd	2
1	641	4930578M01Rik	3
1	641	Cxxc4	2
1	641	Bcorl1	2
1	641	Rbfox3	2
1	641	Pou6f2	0
1	641	Plcg2	3
1	641	Slit2	0
1	641	Gpm6b	0
1	641	Agtpbp1	0
1	641	Nnat	4
1	641	Cux2	2
1	641	Zfp811	0
1	641	Mmp24	0
1	641	Id1	3
1	641	Klc1	2
1	641	Uncx	0
1	641	Brsk2	0
1	641	Ank3	0
1	641	Sorbs2	2
1	641	Ttc28	0
1	641	Sh3bp5	2
1	641	Phldb2	3
1	641	Spock1	2
1	641	Gnao1	0
1	641	Gprin1	0
1	641	Foxo1	4
1	641	Reep3	0
1	641	Glra1	3
1	641	Mapre1	3
