run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	392	Zic5	0.2122762148337596	0.0006885697422781822	0.2762148337595908	0.004131418453669093	1	123	94.0	5.0	41.0	2.0
1	392	Ascl2	0.12531969309462918	0.00064266509279297	0.1329923273657289	0.002524755721686668	2	97	128.0	54.0	30.0	7.0
1	392	Hand1	0.10230179028132994	0.0011935208866155158	0.14066496163682865	0.00954160928585481	2	97	37.0	49.0	14.0	19.0
1	392	Elf3	0.11253196930946292	0.0007082431634861302	0.13043478260869568	0.004105187225391829	2	97	95.0	58.0	28.0	12.0
1	392	Sox1	0.11764705882352942	0.001298445799724572	0.1278772378516624	0.0032198832710341662	1	123	113.0	59.0	24.0	20.0
1	392	Tcf15	0.13554987212276215	0.0017115876450914814	0.1790281329923274	0.010158043150370517	0	172	29.0	31.0	33.0	12.0
1	381	Zic5	0.19999999999999998	0.0024927093459241774	0.25263157894736843	0.007943341202610749	1	119	61.0	4.0	9.0	2.0
1	381	Ascl2	0.11578947368421053	0.0009582002499652826	0.12105263157894737	0.006568532148312735	2	93	68.0	46.0	23.0	5.0
1	381	Hand1	0.10263157894736842	0.0014095264546590753	0.13421052631578947	0.016581030412442715	2	93	12.0	39.0	11.0	12.0
1	381	Elf3	0.10263157894736842	0.0008748784890987363	0.1131578947368421	0.00440216636578253	2	93	101.0	55.0	24.0	12.0
1	381	Sox1	0.09473684210526316	0.0017428134981252604	0.10526315789473684	0.005957505901958061	1	119	74.0	69.0	15.0	20.0
1	381	Tcf15	0.11842105263157894	0.0010206915706151925	0.15263157894736842	0.007943341202610749	0	169	61.0	32.0	51.0	14.0
1	364	Zic5	0.2066115702479339	0.002899410985799735	0.2396694214876033	0.00803616273229533	0	139	55.0	1.0	17.0	1.0
1	364	Ascl2	0.11294765840220386	0.0012708704320959468	0.11294765840220386	0.00925376314627947	2	92	48.0	43.0	16.0	4.0
1	364	Hand1	0.09641873278236915	0.0020394806934234356	0.1184573002754821	0.02225164756556017	2	92	6.0	38.0	7.0	12.0
1	364	Elf3	0.09917355371900827	0.0007077302406282818	0.10743801652892562	0.002275390773632863	2	92	130.0	45.0	32.0	7.0
1	364	Sox1	0.09366391184573003	0.0027319909288769156	0.09366391184573003	0.005775991963837268	0	139	71.0	61.0	22.0	20.0
1	364	Tcf15	0.0881542699724518	0.001073010364823524	0.11570247933884298	0.006810952315723788	1	133	64.0	41.0	30.0	12.0
1	352	Zic5	0.11396011396011396	0.001579161579161579	0.1965811965811966	0.009857549857549858	2	73	47.0	2.0	8.0	3.0
1	352	Ascl2	0.10541310541310542	0.0020919820919820917	0.10541310541310542	0.017688237688237688	1	86	15.0	35.0	5.0	3.0
1	352	Hand1	0.07977207977207977	0.0013349613349613349	0.09686609686609687	0.00927960927960928	1	86	51.0	46.0	14.0	13.0
1	352	Elf3	0.08831908831908833	0.0017419617419617418	0.10256410256410257	0.00870980870980871	1	86	55.0	38.0	9.0	10.0
1	352	Sox1	0.06552706552706553	0.001286121286121286	0.07977207977207977	0.006218966218966219	2	73	68.0	62.0	11.0	9.0
1	352	Tcf15	0.06837606837606838	0.0018884818884818883	0.10826210826210826	0.01696377696377696	3	72	18.0	33.0	4.0	6.0
1	341	Zic5	0.10882352941176471	0.0028023598820058997	0.17352941176470588	0.010619469026548672	3	70	40.0	4.0	3.0	3.0
1	341	Ascl2	0.10294117647058823	0.0035311469720631615	0.10294117647058823	0.023937185493666493	0	84	7.0	26.0	2.0	1.0
1	341	Hand1	0.055882352941176466	0.0007721672739892417	0.07058823529411765	0.010038174561860142	0	84	42.0	56.0	27.0	21.0
1	341	Elf3	0.08529411764705883	0.0025420787784140204	0.1	0.013682110012146451	0	84	34.0	29.0	7.0	8.0
1	341	Sox1	0.055882352941176466	0.0011886170397362485	0.06764705882352941	0.007062293944126323	3	70	62.0	61.0	11.0	9.0
1	341	Tcf15	0.052941176470588235	0.0012927294811730002	0.07352941176470588	0.008415755682804095	1	81	55.0	51.0	9.0	9.0
1	333	Zic5	0.08734939759036145	0.0029483492883922396	0.15060240963855423	0.015770028755505407	3	54	33.0	3.0	3.0	3.0
1	333	Ascl2	0.08132530120481928	0.003339642558148	0.08132530120481928	0.010883412805299749	2	78	50.0	30.0	2.0	3.0
1	333	Hand1	0.05421686746987952	0.0007643868525461362	0.06325301204819278	0.0077621664907363596	2	78	61.0	45.0	29.0	18.0
1	333	Elf3	0.07228915662650603	0.0012284788701634331	0.08433734939759037	0.014596148946238124	2	78	37.0	28.0	19.0	9.0
1	333	Sox1	0.03614457831325302	0.0005459906089615258	0.05120481927710844	0.004413424089105667	3	54	87.0	70.0	13.0	12.0
1	333	Tcf15	0.03614457831325302	0.0025752557056018636	0.04819277108433735	0.018418083208968806	0	109	25.0	74.0	12.0	16.0
