run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	471	Otx2	0.1595744680851064	0.002259220614253958	0.2914893617021277	0.012457469491448532	2	136	20.0	2.0	6.0	6.0
1	471	Pou3f4	0.11914893617021277	0.00206414734836456	0.1425531914893617	0.010225468402667512	1	136	30.0	41.0	5.0	7.0
1	471	Rfx4	0.05319148936170213	0.00044458558272467445	0.14680851063829786	0.008242979630721771	3	58	39.0	36.0	7.0	11.0
1	471	Pax6	0.1574468085106383	0.0025450256317198204	0.23404255319148937	0.014217665472031937	0	141	14.0	11.0	3.0	4.0
1	471	Irx3	0.13191489361702127	0.0015106836637481286	0.2276595744680851	0.015252007440003629	0	141	11.0	12.0	14.0	7.0
1	471	Dbx1	0.04893617021276596	0.00013609762736469625	0.07872340425531915	0.004418636301773806	3	58	84.0	103.0	24.0	15.0
1	441	Otx2	0.1477272727272727	0.0025885276454752537	0.2681818181818182	0.017886726030234005	1	129	10.0	3.0	4.0	7.0
1	441	Pou3f4	0.10681818181818181	0.002277904328018223	0.12045454545454545	0.006978670532201284	2	126	59.0	46.0	6.0	7.0
1	441	Rfx4	0.05909090909090909	0.0006316007454959619	0.13863636363636364	0.0132636156554152	3	55	21.0	32.0	3.0	6.0
1	441	Pax6	0.1590909090909091	0.003950093186995237	0.22727272727272727	0.012958169393249121	0	131	23.0	9.0	1.0	3.0
1	441	Irx3	0.125	0.0017601987989231726	0.20909090909090908	0.014454338372333817	0	131	15.0	12.0	13.0	6.0
1	441	Dbx1	0.04772727272727272	0.0002640298198384759	0.07045454545454545	0.0035566369848829987	3	55	102.0	101.0	17.0	13.0
1	419	Otx2	0.1339712918660287	0.002501348203733664	0.24880382775119617	0.022340022718667172	2	120	5.0	3.0	6.0	6.0
1	419	Pou3f4	0.10047846889952153	0.0024726630179110302	0.11483253588516745	0.00918499650040733	1	122	46.0	38.0	7.0	7.0
1	419	Rfx4	0.05263157894736842	0.0003958555643523459	0.11722488038277512	0.010894633575436302	3	52	39.0	34.0	10.0	8.0
1	419	Pax6	0.13636363636363635	0.003379114889906257	0.20095693779904306	0.016740674446089062	0	125	17.0	8.0	5.0	3.0
1	419	Irx3	0.10765550239234449	0.001600633368902964	0.1770334928229665	0.014772870698656387	0	125	25.0	15.0	12.0	8.0
1	419	Dbx1	0.050239234449760764	0.00020653333792296306	0.06937799043062201	0.005805881610501073	3	52	72.0	90.0	19.0	13.0
1	398	Otx2	0.1234256926952141	0.0033394397374246244	0.21914357682619648	0.0386738925781747	2	105	1.0	4.0	3.0	5.0
1	398	Pou3f4	0.08564231738035265	0.0018191995521970334	0.0982367758186398	0.010635320458998041	1	108	48.0	40.0	13.0	9.0
1	398	Rfx4	0.0579345088161209	0.0007314963234358701	0.10075566750629722	0.010781619723685215	0	148	47.0	39.0	47.0	28.0
1	398	Pax6	0.1486146095717884	0.005998269852174135	0.18639798488664988	0.02824211892221968	0	148	3.0	8.0	3.0	3.0
1	398	Irx3	0.11838790931989925	0.0016029310739638196	0.14609571788413098	0.014788947408594764	0	148	25.0	16.0	24.0	7.0
1	398	Dbx1	0.027707808564231738	0.0002226293158283083	0.05037783375314861	0.004509833854922016	3	37	94.0	104.0	11.0	13.0
1	387	Otx2	0.11139896373056996	0.004205638920664828	0.18911917098445596	0.028140771145952495	1	113	5.0	4.0	3.0	5.0
1	387	Pou3f4	0.07772020725388601	0.0018504811250925242	0.09067357512953368	0.007906601170849875	2	102	67.0	33.0	11.0	10.0
1	387	Rfx4	0.044041450777202076	0.0008007536504945832	0.09067357512953368	0.013855056860238208	3	56	33.0	33.0	8.0	9.0
1	387	Pax6	0.11917098445595856	0.004037413363838235	0.17098445595854922	0.03737971872686899	0	116	1.0	8.0	5.0	3.0
1	387	Irx3	0.08290155440414508	0.0013861785882511271	0.12435233160621761	0.018760514097301662	0	116	13.0	16.0	19.0	8.0
1	387	Dbx1	0.038860103626943004	0.0012044949868784066	0.044041450777202076	0.009494650427292915	3	56	55.0	100.0	2.0	15.0
1	366	Otx2	0.10684931506849316	0.0036880927291886197	0.1643835616438356	0.027434893873250037	1	101	7.0	5.0	4.0	5.0
1	366	Pou3f4	0.07671232876712329	0.0027096191479753125	0.09041095890410959	0.01337498118320036	2	97	38.0	21.0	7.0	4.0
1	366	Rfx4	0.030136986301369864	0.0005720307090170104	0.06301369863013699	0.01068794219479151	3	56	52.0	53.0	15.0	20.0
1	366	Pax6	0.12328767123287672	0.004365497516182448	0.1589041095890411	0.019652265542676503	0	112	22.0	6.0	4.0	3.0
1	366	Irx3	0.0821917808219178	0.0022128556375131717	0.11232876712328767	0.02827788649706458	0	112	5.0	14.0	14.0	6.0
1	366	Dbx1	0.03287671232876713	0.0015203974108083697	0.038356164383561646	0.012780370314616889	3	56	44.0	104.0	2.0	16.0
1	353	Otx2	0.10227272727272728	0.005495661745661746	0.15625	0.04744560994560995	1	99	1.0	4.0	2.0	5.0
1	353	Pou3f4	0.06534090909090909	0.002646658896658897	0.08238636363636363	0.01736920486920487	2	92	30.0	21.0	9.0	5.0
1	353	Rfx4	0.02840909090909091	0.000687969437969438	0.05113636363636364	0.009987697487697489	3	53	59.0	57.0	16.0	17.0
1	353	Pax6	0.11647727272727273	0.004176379176379177	0.13920454545454547	0.019667832167832168	0	109	23.0	6.0	5.0	2.0
1	353	Irx3	0.07670454545454546	0.0035612535612535613	0.09943181818181819	0.02043673918673919	0	109	22.0	16.0	7.0	6.0
1	353	Dbx1	0.03125	0.001796814296814297	0.036931818181818184	0.015200077700077702	3	53	38.0	91.0	3.0	13.0
1	335	Otx2	0.09580838323353294	0.006941072809336282	0.1347305389221557	0.05093416770063477	1	99	1.0	4.0	2.0	6.0
1	335	Pou3f4	0.04491017964071856	0.0014565463667260076	0.07784431137724551	0.02254050457643272	2	72	21.0	21.0	14.0	9.0
1	335	Rfx4	0.02694610778443114	0.00040459621297944654	0.05089820359281438	0.014178849508190827	3	35	50.0	43.0	13.0	8.0
1	335	Pax6	0.10479041916167665	0.0031828235421049794	0.125748502994012	0.018521515527503554	0	101	32.0	6.0	9.0	2.0
1	335	Irx3	0.0688622754491018	0.002904101706496916	0.08982035928143713	0.017622412831993672	0	101	35.0	16.0	11.0	7.0
1	335	Dbx1	0.011976047904191617	0.0009980039920159682	0.02694610778443114	0.02142561723400047	4	28	24.0	102.0	1.0	16.0
1	321	Otx2	0.08750000000000001	0.006357758620689656	0.12187500000000001	0.041408699059561134	0	98	4.0	3.0	3.0	6.0
1	321	Pou3f4	0.053125000000000006	0.002106191222570533	0.059375000000000004	0.014664968652037619	2	78	46.0	24.0	14.0	3.0
1	321	Rfx4	0.028125	0.0005877742946708464	0.046875	0.021522335423197494	3	51	30.0	39.0	20.0	9.0
1	321	Pax6	0.09375	0.005221394984326019	0.109375	0.02929075235109718	1	94	15.0	5.0	4.0	2.0
1	321	Irx3	0.065625	0.0033601097178683386	0.084375	0.025881661442006272	1	94	22.0	13.0	9.0	5.0
