run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	462	Evx2	0.07375271149674621	0.0006649061586343488	0.13232104121475055	0.021748561727812882	2	122	4.0	32.0	33.0	27.0
1	462	Lhx9	0.15835140997830804	0.0020418749410544184	0.19956616052060738	0.017174384608129773	2	122	16.0	8.0	7.0	1.0
1	462	Esrrg	0.12147505422993493	0.0021833443365085353	0.14967462039045554	0.007304536451947561	2	122	66.0	20.0	4.0	7.0
1	462	Lhx4	0.0911062906724512	0.0008959728378760728	0.22125813449023862	0.018688107139488822	2	122	11.0	4.0	23.0	18.0
1	462	Otp	0.09761388286334056	0.002470998773931906	0.22559652928416488	0.02608695652173913	0	139	2.0	3.0	9.0	5.0
1	462	Bhlhe23	0.07592190889370933	0.0009667075356031311	0.15184381778741865	0.020465905875695557	1	131	8.0	18.0	28.0	24.0
1	438	Evx2	0.054919908466819226	0.0013173640123443832	0.11212814645308924	0.02290428904331031	0	127	7.0	34.0	25.0	34.0
1	438	Lhx9	0.11212814645308924	0.001947179476413411	0.17620137299771166	0.014312556420968658	3	91	27.0	6.0	2.0	1.0
1	438	Esrrg	0.08237986270022883	0.0013698486343501355	0.13272311212814644	0.011583356076669537	3	91	33.0	21.0	5.0	8.0
1	438	Lhx4	0.11899313501144165	0.0025507526294795625	0.19679633867276888	0.030210148426511034	2	106	3.0	4.0	1.0	4.0
1	438	Otp	0.11212814645308924	0.0006508093128713287	0.1853546910755149	0.02276258056389478	2	106	8.0	5.0	17.0	5.0
1	438	Bhlhe23	0.08009153318077804	0.0005038523712552223	0.13958810068649885	0.018868221611067958	0	127	17.0	16.0	45.0	21.0
1	416	Evx2	0.06746987951807229	0.001751935277341249	0.09879518072289158	0.02124439788138059	1	75	15.0	30.0	1.0	7.0
1	416	Lhx9	0.09397590361445785	0.001996391362551656	0.15421686746987953	0.022303707583959023	2	75	14.0	5.0	2.0	1.0
1	416	Esrrg	0.06746987951807229	0.001978930213608055	0.12048192771084339	0.024212793201792676	2	75	12.0	20.0	3.0	5.0
1	416	Lhx4	0.06987951807228916	0.0020022117455328558	0.15180722891566267	0.03253012048192771	0	130	3.0	6.0	16.0	7.0
1	416	Otp	0.0746987951807229	0.0005238344683080146	0.16144578313253014	0.02685524707525755	0	130	9.0	4.0	37.0	5.0
1	416	Bhlhe23	0.06987951807228916	0.0005994994470636168	0.12289156626506025	0.013695361154763983	1	75	31.0	17.0	16.0	6.0
1	398	Evx2	0.05289672544080604	0.0010368165280004072	0.07556675062972291	0.018643614991222045	4	61	21.0	39.0	2.0	13.0
1	398	Lhx9	0.08816120906801007	0.0020545505432155308	0.14105793450881612	0.020062081774928124	2	78	18.0	5.0	4.0	2.0
1	398	Esrrg	0.07808564231738035	0.0026588301147495103	0.11083123425692695	0.03132076431824543	2	78	6.0	15.0	2.0	4.0
1	398	Lhx4	0.08564231738035265	0.0029641503193140475	0.1234256926952141	0.028267562272600057	0	102	8.0	8.0	2.0	3.0
1	398	Otp	0.08816120906801007	0.0005025061700124672	0.13602015113350124	0.03396051192020966	0	102	4.0	6.0	22.0	2.0
1	398	Bhlhe23	0.07556675062972291	0.0009223214512887058	0.10327455919395466	0.009356792102384043	4	61	52.0	18.0	5.0	3.0
1	381	Evx2	0.04473684210526316	0.0009443132898208583	0.05263157894736842	0.006582419108457159	2	68	76.0	58.0	11.0	15.0
1	381	Lhx9	0.06842105263157895	0.0011942785724204973	0.12105263157894737	0.03033606443549507	4	50	9.0	5.0	4.0	2.0
1	381	Esrrg	0.05263157894736842	0.000826274128593251	0.08684210526315789	0.026489376475489518	4	50	15.0	23.0	7.0	5.0
1	381	Lhx4	0.05789473684210526	0.0023607832245521455	0.09473684210526316	0.034120261074850715	1	93	6.0	15.0	3.0	5.0
1	381	Otp	0.06842105263157895	0.0016108873767532287	0.12631578947368421	0.017837800305513123	1	93	29.0	4.0	4.0	3.0
1	381	Bhlhe23	0.07105263157894737	0.0007985002083044022	0.09999999999999999	0.008366893487015692	2	68	59.0	13.0	15.0	3.0
1	362	Evx2	0.0332409972299169	0.0008079409048938135	0.0443213296398892	0.010510926438904278	3	58	52.0	58.0	10.0	18.0
1	362	Lhx9	0.0664819944598338	0.0023622653124038165	0.12188365650969529	0.05441674361341951	4	57	1.0	1.0	1.0	2.0
1	362	Esrrg	0.0443213296398892	0.0009233610341643582	0.0664819944598338	0.030871037242228377	4	57	12.0	31.0	11.0	6.0
1	362	Lhx4	0.05263157894736842	0.0023853493382579257	0.08587257617728532	0.04569098184056633	0	98	3.0	12.0	4.0	5.0
1	362	Otp	0.07756232686980609	0.003216374269005848	0.10526315789473684	0.03975838719606033	0	98	4.0	6.0	1.0	2.0
1	362	Bhlhe23	0.06371191135734072	0.0006925207756232687	0.07756232686980609	0.005801785164666051	3	58	92.0	17.0	11.0	3.0
1	334	Evx2	0.03303303303303303	0.0005065306270125548	0.03903903903903904	0.00657585296139513	4	42	75.0	59.0	10.0	17.0
1	334	Lhx9	0.06306306306306306	0.0022070263034118455	0.11411411411411411	0.08507905495857303	3	49	1.0	2.0	1.0	1.0
1	334	Esrrg	0.04204204204204204	0.0008683382177358081	0.06306306306306306	0.013938637432613336	3	49	40.0	24.0	7.0	5.0
1	334	Lhx4	0.04504504504504504	0.003599985527696371	0.07507507507507508	0.05970729765910489	0	91	4.0	13.0	4.0	6.0
1	334	Otp	0.06306306306306306	0.002623105032743587	0.09309309309309309	0.04499981909620464	0	91	6.0	7.0	7.0	3.0
1	334	Bhlhe23	0.057057057057057055	0.0008231122688954014	0.06906906906906907	0.02042403849632765	4	42	27.0	16.0	4.0	2.0
