treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ascl1n	1	0.3	positive	392	7827	1.453370211726873	143	4.696543710676799	80.0	-2.8856286327897434	0.012651986906430534	-2.98150827034842	0.0975544085157289	
Ascl1n	1	0.32105263157894737	positive	381	6412	1.5469620849245067	153	4.433386821405148	66.0	-3.4441846558735194	0.004071324489509813	-3.7395381731659336	0.060647776049148984	
Ascl1n	1	0.34210526315789475	positive	364	5189	1.6430539347368207	160	4.644284056684102	59.0	-2.6293013483886756	0.014697970263334945	-2.767661504299489	0.11002580922321856	
Ascl1n	1	0.3631578947368421	positive	352	4197	1.7034924381276626	154	4.487541262699992	48.0	-2.771647934791241	0.018504818489664752	-2.767053761790612	0.10971463946601863	
Ascl1n	1	0.38421052631578945	positive	341	3395	1.7724192672176278	153	4.068306504673385	39.0	-3.78930223775897	0.004413075064846741	-4.08387518041615	0.07072648249197945	
Ascl1n	1	0.4052631578947368	positive	333	2686	1.9099392620028166	154	3.57716457350338	30.0	-5.604772933099046	4.7642105889233e-05	-7.042731714895032	0.012959189409214714	
Ascl1n	1	0.4263157894736842	positive	324	2175	2.159351545078307	156	5.439442258937988	38.0	-0.888225564887327	0.16612573665545616	-0.8908289333354582	0.3630220526663498	
Ascl1n	1	0.4473684210526315	positive	307	1728	2.0660581421045134	153	3.517612454005042	21.0	-4.0635069735909095	0.009171752050232627	-3.9822744732800093	0.07602389597106043	
Ascl1n	1	0.46842105263157896	positive	293	1395	2.0549829235493675	139	3.329459728882381	17.0	-4.326593580736563	0.0122917009886964	-3.996580595198708	0.07900012529310246	
Ascl1n	1	0.4894736842105263	positive	276	1072	2.591209969133576	151	2.979288959050888	12.0	-6.196260092747048	0.0014083614143100918	-5.978584982434762	0.024472846707794628	
Ascl1n	1	0.5105263157894737	positive	260	850	2.534678298364024	146	6.045868280319321	20.0	-0.8502262667146232	0.04504213726807607	-1.2353904747859934	0.24077550512997947	
Ascl1n	1	0.531578947368421	positive	234	654	2.19526251955533	127	6.619086977427498	17.0	-0.5867996832217433	0.09631447395413306	-0.8532182481674204	0.35530879277934124	
Ascl1n	1	0.5526315789473684	positive	212	519	3.23172726676004	122	9.021169438555896	17.0	-0.10021114388300334	0.551644911824739	-0.09408026320359997	0.7118174808111265	
Ascl1n	1	0.5736842105263158	positive	184	410	2.4883422368901855	104	5.797034843159597	12.0	0.01726676380164438	0.9708255320714196	-0.04289901479562652	0.780788006449993	
Ascl1n	1	0.5947368421052631	positive	167	303	3.5587571502433337	98	4.609452439579284	9.0	-0.5421103792374717	0.3030696056813583	-0.509267363045764	0.44505104341697477	
Ascl1n	1	0.6157894736842104	positive	142	231	6.569576813393028	86	2.8504414103433167	4.0	-2.8544862712093613	0.11168270854874751	-2.4849746509355577	0.13884667846375434	
Ascl1n	1	0.6368421052631579	positive	68	102	2.082995484360065	38	2.1825075390531428	2.0	-2.908103747057298	0.25494606612014503	-2.8363377226893958	0.0960966796040706	
Ascl1n	1	0.6578947368421053	positive	48	67	1.5802325581395347	28	3.5821590845469675	5.0	-0.131745268552946	0.8091021984553237	-0.17795889256216324	0.6467943021568521	
Ascl1n	1	0.6789473684210526	positive	34	47	1.0708215297450427	20	2.188222186501325	2.0	-1.1456779978722778	0.5327227177333276	-1.1564571678883349	0.31079475218475183	
Ascl1n	1	0.7	positive	25	27	nan	19	3.04196446686736	2.0	-0.24552989150353643	0.7453506819209547	-0.4326536803061014	0.4025029699318877	
Ascl1n	2	0.3	positive	362	5089	1.6074724595733036	133	4.271589279739203	54.0	-3.0921071379393665	0.01873974811997692	-3.0135281981138666	0.09873325058747692	
Ascl1n	2	0.32105263157894737	positive	354	4007	1.7082214047568105	144	4.316894964670162	46.0	-2.737311273197774	0.02953964666456036	-2.621288950239291	0.1289432895770972	
Ascl1n	2	0.34210526315789475	positive	342	3127	1.7688536565763984	151	7.625489395429173	61.0	-0.3821953326602743	0.21775366950638808	-0.5211610576338286	0.46522085116662704	
Ascl1n	2	0.3631578947368421	positive	328	2417	1.971699739233499	142	4.443416109774784	33.0	-1.1004922273896192	0.33493078086188643	-0.9178531814795372	0.3550903691317312	
Ascl1n	2	0.38421052631578945	positive	313	1858	1.954963671873216	150	4.721317993682936	31.0	-0.7542482930138124	0.33303608883223135	-0.6503027612025627	0.39389785418583767	
Ascl1n	2	0.4052631578947368	positive	296	1436	2.286045953420998	142	4.766715736192712	25.0	-0.38276792255739434	0.6439432639082989	-0.33775586882050534	0.5321905841859165	
Ascl1n	2	0.4263157894736842	positive	274	1101	2.352200347994641	141	3.979169775207254	16.0	-0.6261641441143904	0.6434461472994681	-0.7127289859925559	0.3787912227720992	
Ascl1n	2	0.4473684210526315	positive	249	842	2.203895917672075	130	3.7042435177332376	13.0	-0.6938849443382327	0.6473444345137661	-0.7581313519495234	0.4083435923784089	
Ascl1n	2	0.46842105263157896	positive	219	632	2.844350464833465	125	3.40511087647295	10.0	-1.813484171053379	0.25908261778637753	-1.725672313328995	0.23288263013467203	
