treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ascl1p	1	0.24	positive	516	10062	1.5974552686470016	183	3.5790219464045436	74.0	-7.504212613385835	1.346430325287698e-05	-9.057210997586306	0.007792634996802776	
Ascl1p	1	0.26263157894736844	positive	486	7749	1.6707773520624591	203	3.796722045211337	69.0	-5.4235001402043	8.84075812147899e-05	-6.9062390274887155	0.018944490783031506	
Ascl1p	1	0.28526315789473683	positive	455	5933	1.839182623674317	181	6.3435545836932965	85.0	-0.8505889393964656	0.1079292296703452	-1.0862955229439115	0.3396203887238526	
Ascl1p	1	0.3078947368421053	positive	425	4561	1.9584011330807694	181	6.706935828606331	75.0	-0.40641228315048217	0.4063456101867171	-0.3751934595907467	0.5653175652111802	
Ascl1p	1	0.33052631578947367	positive	403	3528	2.004793278535739	162	2.9652463283390578	28.0	-8.244863035071901	0.0002207717203506106	-8.077748276694289	0.00843092695352558	
Ascl1p	1	0.3531578947368421	positive	381	2723	2.1344025777593596	161	2.925096783802797	22.0	-6.665156522385469	0.006983401084347617	-5.785905520905423	0.02613144756514088	
Ascl1p	1	0.37578947368421056	positive	363	2081	2.1184414447878863	189	2.9983926473806526	20.0	-5.146476492818731	0.018198823017317563	-4.391894094788289	0.0517850412130149	
Ascl1p	1	0.39842105263157895	positive	331	1586	2.202259700231033	170	2.877634292797719	16.0	-5.483510344459045	0.009804518979249022	-4.860797395806779	0.033454207054082696	
Ascl1p	1	0.42105263157894735	positive	302	1228	2.143807043596093	156	2.8488183684419206	14.0	-5.06080520894416	0.010248985456843713	-4.5937990938018505	0.044531837362877434	
Ascl1p	1	0.4436842105263158	positive	265	933	1.924875762793606	149	4.080054963874677	20.0	-1.0562066669864136	0.27421865164817194	-0.8669992103453699	0.41181522590644537	
Ascl1p	1	0.46631578947368424	positive	221	697	1.819926532881259	130	2.3024508335855756	6.0	-8.054873949317507	0.01664043443937552	-6.8964193514219545	0.021940500988748807	
Ascl1p	1	0.48894736842105263	positive	171	498	2.163434847055653	94	2.630320864841881	7.0	-4.170914449430715	0.04655801263611326	-3.7965430121245927	0.06576122573670115	
Ascl1p	1	0.5115789473684211	positive	136	366	2.4502970872896834	78	2.923195993761279	7.0	-1.9506508985883588	0.28086544658461476	-1.5832539011793867	0.2509182240129223	
Ascl1p	1	0.5342105263157895	positive	106	264	1.8997162810999564	61	2.646418049775334	5.0	-2.00122245744441	0.32679078591536936	-1.7935260734409262	0.20256320023890517	
Ascl1p	1	0.5568421052631579	positive	94	214	2.24700823196953	52	4.286600689020601	10.0	-0.16989612581758173	0.7700414495660871	-0.1458575206064694	0.6626277417723629	
Ascl1p	1	0.5794736842105264	positive	77	162	2.6312358276643995	46	2.2704356679857143	3.0	-3.816403770989398	0.09750152128867023	-3.495736474217679	0.06582650894247787	
Ascl1p	1	0.6021052631578947	positive	65	118	1.8472662022377033	35	6.638943888042571	9.0	-0.16627634781747358	0.3721757555318216	-0.1729760213033411	0.6342544488838047	
Ascl1p	1	0.6247368421052633	positive	54	86	1.7001892403352261	33	2.5903976404601323	3.0	-2.9868840428576275	0.020003773076175905	-3.0196766341019674	0.1143732516550649	
Ascl1p	1	0.6473684210526316	positive	42	61	3.435586515307877	25	4.796382222841933	5.0	-0.09889297822700538	0.7691571265635018	-0.11858071664528058	0.6916886183556799	
Ascl1p	1	0.67	positive	36	50	2.759828448892066	21	3.011858168216141	3.0	-0.6809495741305525	0.4632941213244013	-0.5996995318030867	0.41031130361942303	
Ascl1p	2	0.24	positive	545	12406	1.514498881617932	204	3.2943023376005796	72.0	-10.083543125249744	5.991407338254995e-05	-9.828580239722815	0.005866760625688988	
Ascl1p	2	0.26263157894736844	positive	510	9724	1.6070272442505913	206	2.77268204517884	47.0	-17.025237596617007	1.5039328327320842e-07	-16.897104209378142	0.00021840121829602631	
