treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ngn2n	1	0.24	positive	640	6479	1.8522246507854163	361	6.2229410867002715	88.0	-0.6234808171144519	0.32939262928439006	-0.5565277134866453	0.47561923402566264	
Ngn2n	1	0.26421052631578945	positive	540	4730	1.9933156464250443	302	2.0930325489240182	14.0	-25.908628885941077	1.6585644736158397e-05	-21.871087881066334	2.5642603425835083e-05	
Ngn2n	1	0.2884210526315789	positive	458	3463	2.2055421849541808	270	2.0727513821210275	11.0	-20.733252810231694	0.0007637661037025643	-17.05792758054658	0.0002501529977392895	
Ngn2n	1	0.31263157894736837	positive	391	2589	2.215719000865969	225	8.271006179137359	51.0	-0.483004109985516	0.25357460918732233	-0.6157533170858112	0.49175029131920645	
Ngn2n	1	0.3368421052631579	positive	332	1936	2.3147168584721336	190	1.8882341529065634	5.0	-12.67543014356821	0.10614986033381041	-14.444695147314167	0.0005937041773272578	
Ngn2n	1	0.36105263157894735	positive	292	1474	2.1663492486851905	168	6.086181219246061	36.0	-0.577262103988665	0.23543575542352535	-0.6344569941011011	0.4492448830554291	
Ngn2n	1	0.3852631578947368	positive	243	1138	2.1607377169534883	123	6.133724586870157	32.0	-0.28748251241229084	0.511338563897477	-0.2527805968404919	0.6020788690149808	
Ngn2n	1	0.4094736842105263	positive	195	853	2.047652355384867	107	4.8637795618217865	23.0	-1.0900794799365063	0.11543933295544849	-1.1777094964165244	0.31196356556303184	
Ngn2n	1	0.4336842105263158	positive	168	672	2.0296757402165304	88	6.885563265974639	25.0	-0.38173911780530245	0.23258933912014013	-0.4808961947821526	0.4736554847435669	
Ngn2n	1	0.45789473684210524	positive	136	525	2.079929586856213	69	8.399804916980571	23.0	-0.1967647977853264	0.4157860621023656	-0.2407753184946122	0.6290631860178235	
Ngn2n	1	0.4821052631578947	positive	117	409	2.107703973846027	60	9.940909552264396	21.0	-0.21025001648870956	0.07167580793428953	-0.5733776918729461	0.4294722634572731	
Ngn2n	1	0.5063157894736842	positive	103	323	1.7080215984268372	63	1.5047255980526149	1.0	-14.392151098367751	0.061661605263088025	-15.819112646372417	8.072324026367493e-05	
Ngn2n	1	0.5305263157894736	positive	90	254	2.231126087809985	54	2.1846925350216626	4.0	-6.613903301188265	0.015941787523114016	-5.381071047472691	0.05549353009392254	
Ngn2n	1	0.5547368421052631	positive	81	212	1.820375748902078	47	6.520443226643487	13.0	-0.47468271245612415	0.04827030790046029	-1.0833223886662329	0.34128431999909714	
Ngn2n	1	0.5789473684210527	positive	69	169	1.6645458208733646	40	7.096064898426364	12.0	-0.1896488652816275	0.3888564335822309	-0.21483149873859841	0.6446055864381743	
Ngn2n	1	0.6031578947368421	positive	64	138	2.6069627597847873	40	11.69256638894871	13.0	-0.08665422499896303	0.002538464248026687	-0.34609587270496234	0.536575341174484	
Ngn2n	1	0.6273684210526316	positive	48	106	1.996283196451052	29	8.815419998466052	10.0	-0.17229691814064885	0.0004539697075651342	-0.5190971585515926	0.4700816910348562	
Ngn2n	1	0.651578947368421	positive	30	63	1.4069094622191969	16	4.17675669120112	6.0	-0.5887924806624716	0.18809489160173265	-0.6864208044186009	0.4477459662387667	
Ngn2n	1	0.6757894736842105	positive	27	46	1.2941176470588234	12	9.43039270007804	7.0	-0.1004561203587846	0.3327440093491675	-0.4402541942031635	0.34085885103719304	
Ngn2n	1	0.7	positive	24	36	1.2680334092634775	10	6.064071517548778	6.0	-0.17595098561280076	0.016937415762980045	-0.4131547952460679	0.5008251316563421	
Ngn2n	2	0.24	positive	539	4441	1.9833389014701237	319	2.058816041124091	12.0	-22.11569837476987	0.0008434554460734714	-18.96886738918698	6.746969783612049e-05	
Ngn2n	2	0.26421052631578945	positive	443	3137	2.116059109009557	255	1.920084510037762	7.0	-17.877156117237767	0.026982360732760637	-17.947228540699754	0.00012745101722090417	
Ngn2n	2	0.2884210526315789	positive	384	2312	2.3190301793539656	220	1.85577888105562	5.0	-14.91385260635733	0.08291331079915899	-16.929988602754175	0.0002100943727606997	
Ngn2n	2	0.31263157894736837	positive	332	1700	2.389780160295792	190	5.495403161484456	33.0	-1.1863176844931043	0.11762144871824019	-1.2227383526165947	0.3152714882325701	
Ngn2n	2	0.3368421052631579	positive	272	1227	2.1644365172457376	159	6.731284418178026	31.0	-0.3648238026828172	0.5116511343648951	-0.28660272203640447	0.6168560913401581	
Ngn2n	2	0.36105263157894735	positive	216	890	2.3833772374653646	122	4.609952238520675	22.0	-1.3752143039295985	0.08788028705631587	-1.4419252256532	0.2658813709401796	
Ngn2n	2	0.3852631578947368	positive	173	687	2.1744537349524533	100	1.4875690449244328	1.0	1.2544200153678373	0.9119625768339826	-18.276290548520763	2.844327286518003e-06	
Ngn2n	2	0.4094736842105263	positive	137	506	1.8961070451388224	79	7.599011530772766	23.0	-0.13806496880041608	0.5759418481165712	-0.129988724352877	0.6788405826953323	
Ngn2n	2	0.4336842105263158	positive	119	389	2.127351469458092	70	7.716991742660483	20.0	-0.147227757085167	0.5260837954636918	-0.14069621344505556	0.672125655439576	
Ngn2n	2	0.45789473684210524	positive	89	282	2.2886006343121816	48	9.25714572617806	18.0	-0.08433490756096806	0.46542483638382237	-0.09629322857821343	0.6780986436499398	
Ngn2n	2	0.4821052631578947	positive	77	220	1.9200893118412679	43	4.149849278633107	9.0	-0.8351535519068518	0.24784235457053883	-0.7542465358605202	0.4075535330409765	
Ngn2n	2	0.5063157894736842	positive	71	177	1.9812806376370509	42	4.158585920229498	8.0	-0.6555077408068848	0.3549087077525501	-0.5416069725480421	0.48751483177866717	
Ngn2n	2	0.5305263157894736	positive	57	132	1.8294996070212208	32	2.5540995164912546	4.0	-4.84962899813461	0.00043267274420942596	-5.724781192059913	0.0341669224442829	
Ngn2n	2	0.5547368421052631	positive	50	100	2.8489884393063583	28	4.432629000493224	6.0	-0.8360542764854054	0.04484936432419392	-1.2403239381614937	0.305727560675341	
Ngn2n	2	0.5789473684210527	positive	43	78	2.530029024335789	25	5.197469210535944	6.0	-0.26018850648547176	0.30937362117710987	-0.24513930345746016	0.5291185324535217	
Ngn2n	2	0.6031578947368421	positive	39	62	3.7714285714285714	23	10.303119997757992	7.0	-0.13234234668814715	0.5130678881300037	-0.3850138859548519	0.10872777415159952	
Ngn2n	3	0.24	positive	620	6544	1.8363500010491494	360	5.626925909885142	81.0	-1.5258896146511263	0.040787553694141575	-1.7776497567878966	0.19647252790777936	
Ngn2n	3	0.26421052631578945	positive	545	4813	2.001487256601136	326	6.921321963693129	72.0	-0.7916194052429493	0.14214861222418948	-0.8944795123991285	0.3522130248421752	
