treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ngn2p	1	0.3	positive	641	6771	2.73039506056894	296	5.99042162445323	61.0	-2.4081755409943466	0.007292387671583184	-4.125081164996302	0.1536231203141029	
Ngn2p	1	0.31842105263157894	positive	609	5466	2.9025080523321733	275	8.638480833251698	61.0	-0.6387542677995883	0.2633469076911381	-0.8575486584235699	0.5115956392298098	
Ngn2p	1	0.3368421052631579	positive	579	4411	3.0823212896732337	270	8.604099189915868	55.0	-0.7526529842520295	0.026464494380683747	-1.8497883052554798	0.28998960156995823	
Ngn2p	1	0.35526315789473684	positive	534	3528	3.1734451923745652	238	5.04867948558089	36.0	-3.418663489610691	6.636310796415899e-05	-5.6981942791932605	0.024651167355308354	
Ngn2p	1	0.3736842105263158	positive	490	2807	3.5136406277524896	246	4.792582054298119	30.0	-2.9213656496872056	0.00369727762648226	-3.567522809181983	0.07902886606848013	
Ngn2p	1	0.39210526315789473	positive	458	2236	3.23233288757781	235	3.3762954018972398	19.0	-8.118491299514734	2.9747781034698184e-06	-9.826737951758627	0.004175118638932987	
Ngn2p	1	0.4105263157894737	positive	413	1784	3.64615553722021	217	3.7438584964262946	19.0	-4.259470338865726	0.002217362618604124	-4.554813383119622	0.04505816603309904	
Ngn2p	1	0.42894736842105263	positive	390	1455	3.393083305425187	216	3.5469120579582785	15.0	-3.423430118785044	0.0469129426888863	-2.870209483234345	0.10303245430182235	
Ngn2p	1	0.4473684210526316	positive	347	1159	4.0473644670467435	192	3.258964263240028	12.0	-4.050052378376828	0.03325543873981619	-3.434174787157066	0.07956167849686813	
Ngn2p	1	0.46578947368421053	positive	303	921	3.633725148267706	168	3.1690490700905043	10.0	-3.0873710474331526	0.12987823512307164	-2.50121955020415	0.12555814873858417	
Ngn2p	1	0.4842105263157895	positive	263	724	3.1531260899477784	153	2.922351428871689	8.0	-3.9335529984984046	0.06303940713207641	-3.283060025838522	0.07805412786104014	
Ngn2p	1	0.5026315789473684	positive	224	558	2.966548734418	129	2.735196391731556	6.0	-3.1081229170958498	0.19995991165040017	-2.87588867371226	0.08697655261670446	
Ngn2p	1	0.5210526315789474	positive	191	455	3.004293854234367	110	6.624996811067947	16.0	-0.05637268857133315	0.8646304018279095	-0.050285353832357105	0.7804664794604675	
Ngn2p	1	0.5394736842105263	positive	131	316	2.557283727355266	75	2.3318733721855365	4.0	-4.351514185264969	0.10664534545374132	-3.743120345158814	0.058727795800071494	
Ngn2p	1	0.5578947368421052	positive	99	245	1.763963626164581	56	2.1207122727229066	3.0	-6.170553606055384	0.04232288423829743	-5.419961119210926	0.02629217470506525	
Ngn2p	1	0.5763157894736842	positive	72	184	1.6420979936027915	41	5.205189790501478	11.0	-0.2766460570528566	0.49782836263063746	-0.2584922214372227	0.6063249164623012	
Ngn2p	1	0.5947368421052632	positive	35	61	1.2850402442409103	23	2.0829751855205694	2.0	-4.448978168185398	0.01159857031254568	-4.018559275474814	0.06550494288810053	
Ngn2p	1	0.6131578947368421	positive	27	76	0.8270055113288427	16	5.493131470337357	9.0	0.09193988836403633	0.7762867582010171	-0.003949632533525316	0.9440949203215921	
Ngn2p	1	0.631578947368421	positive	26	67	1.0146666666666668	15	4.736974221817999	8.0	0.061481721606874595	0.8854261025959713	-0.009717286092216337	0.7698781085446937	
Ngn2p	1	0.65	positive	22	50	0.9203703703703704	11	2.879776064603584	4.0	-0.7132810246738843	0.4000699903757763	-0.6679868550374399	0.4137399377029233	
Ngn2p	2	0.3	positive	655	7105	2.7837343193099358	280	1.7785458955773403	7.0	-79.24370651878996	3.6781109912563095e-11	-66.44588532006028	2.003821701462157e-12	
Ngn2p	2	0.31842105263157894	positive	610	5705	2.914032449054846	274	8.626297469095086	59.0	-0.19060142500275568	0.7304619762713171	-0.2750226561543685	0.774082454788353	
Ngn2p	2	0.3368421052631579	positive	570	4631	3.032700022500924	267	7.851064574391735	50.0	-1.2806262337762653	0.01622674372171202	-2.0686019888189775	0.1842700042078047	
Ngn2p	2	0.35526315789473684	positive	529	3678	3.077484739751247	251	7.28191776089886	43.0	-1.2697064694488915	0.01896891251908564	-2.0907543258622465	0.20291535657543291	
Ngn2p	2	0.3736842105263158	positive	499	3002	3.468110473734458	231	8.485396358649343	41.0	-0.45004977566513094	0.287991277691069	-0.5556329640941251	0.5290765724798063	
Ngn2p	2	0.39210526315789473	positive	471	2422	3.4673237922633753	234	6.214627288276767	33.0	-1.3041295821320433	0.030029274596831013	-2.056082335272243	0.24539503264818374	
Ngn2p	2	0.4105263157894737	positive	423	1886	3.696906785456715	207	7.8686985334143245	33.0	-0.4357621571188819	0.21535335482224316	-0.6135010866467634	0.4865802641710669	
Ngn2p	2	0.42894736842105263	positive	378	1509	3.70568753623815	195	10.064830062578368	33.0	-0.28392205467909415	0.13127552568861547	-0.29667486800381093	7.389197577911399e-05	
Ngn2p	2	0.4473684210526316	positive	352	1217	3.9215006636558893	183	9.03583316966225	31.0	-0.035008533945855014	0.8487308125441257	-0.03134420179760822	0.8247647454886305	
Ngn2p	2	0.46578947368421053	positive	311	986	3.8307551791532912	171	7.180495369992511	27.0	-0.071509520530177	0.7819751845857723	-0.06590060039079915	0.7685131814420085	
Ngn2p	2	0.4842105263157895	positive	281	820	3.4098266208519226	159	2.9661654093280108	10.0	-3.8841279997028346	0.03249408945325276	-3.4749489052687146	0.07847838902502086	
Ngn2p	2	0.5026315789473684	positive	221	629	3.0994903285381326	133	7.442804475018	22.0	0.0223263075976885	0.9386191226356145	-0.007656619489922134	0.9075070620206329	
Ngn2p	2	0.5210526315789474	positive	206	524	4.053828743423235	123	8.085253413817803	21.0	-0.13164283774997876	0.5494767965445313	-0.13755857983312336	0.7166884434664267	
Ngn2p	2	0.5394736842105263	positive	137	372	2.6487836299222955	83	6.499061833133484	18.0	-0.2099756015001435	0.4247508897208153	-0.23307315748208368	0.6221625704360881	
Ngn2p	2	0.5578947368421052	positive	114	294	2.677053661756581	65	8.105721763108756	17.0	0.0028971292162580653	0.9839281189661824	-0.007828548977528493	0.8758568169815931	
Ngn2p	2	0.5763157894736842	positive	91	227	1.9050964728041346	52	8.5555166908868	15.0	-0.04404627117817639	0.7015182976670019	-0.039746855197282605	0.7586984768671355	
Ngn2p	2	0.5947368421052632	positive	84	191	2.8050157047506867	55	8.54617646706066	14.0	-0.10211509373490957	0.33764987790806056	-0.14524532065089724	0.6345719306263409	
Ngn2p	2	0.6131578947368421	positive	72	159	1.8339272496563392	51	4.492384939096233	9.0	-0.3636690368575277	0.5358940624203377	-0.2902654617180189	0.6143779367152065	
Ngn2p	2	0.631578947368421	positive	36	87	1.3094194234090606	21	1.5658063335739687	1.0	-3.1251515291164575	0.42588893223336555	-4.054218434093375	0.019302053227031393	
Ngn2p	2	0.65	positive	31	68	1.0839663172366385	21	10.087903386816635	11.0	-0.10133930555508197	0.0007526262546920355	-0.3570916759130147	0.5303370612038816	
Ngn2p	3	0.3	positive	617	6068	2.7692496776857145	255	5.41582155934409	52.0	-3.228330244879365	0.001649007505809602	-4.815683095993706	0.07577172935750295	
Ngn2p	3	0.31842105263157894	positive	587	4803	2.8845297250877064	267	5.681676008579576	47.0	-2.805092230504217	0.00048288653022669303	-4.874264641480377	0.06113141005408403	
Ngn2p	3	0.3368421052631579	positive	555	3840	2.8558132675306704	263	7.610768434477873	47.0	-0.7600038726274723	0.15710121194419496	-0.9673309156975178	0.41066481486314954	
Ngn2p	3	0.35526315789473684	positive	516	3011	3.2669456149007305	262	5.072823074093925	34.0	-2.5904000550355932	0.0013661878420721436	-3.920776006111855	0.06867064731736419	
Ngn2p	3	0.3736842105263158	positive	478	2364	3.3406485722882815	242	1.6198347480490471	2.0	-43.636797302428235	0.0022969732230260233	-51.00343202021361	9.045290555365653e-11	
Ngn2p	3	0.39210526315789473	positive	434	1895	3.351156358467109	228	4.0129286462101454	22.0	-3.3763100559775743	0.005155296043331033	-3.7711604939158465	0.08048302414523917	
Ngn2p	3	0.4105263157894737	positive	376	1516	3.1891037468181427	204	4.3140551946386205	23.0	-2.0145440962677896	0.013911221584813746	-2.5190693954204244	0.13275050037487143	
Ngn2p	3	0.42894736842105263	positive	339	1207	3.5612052544882116	179	9.423641807795555	33.0	-0.1335591785945649	0.43835937702641037	-0.18026164161704794	0.6611204420041553	
Ngn2p	3	0.4473684210526316	positive	299	958	3.8765744787992347	160	3.7866959588931146	16.0	-2.268826183517107	0.020309128850711598	-2.5175477174299377	0.137078640143559	
Ngn2p	3	0.46578947368421053	positive	261	766	3.1356194813704263	140	2.7021371339245333	7.0	-2.8021070109755026	0.3507858975086624	-2.7586713856136806	0.1207577716662764	
Ngn2p	3	0.4842105263157895	positive	207	585	2.71196056196933	119	2.4742817916417623	5.0	-1.3391998903375963	0.7042165408856687	-2.5498043526902405	0.11519416927163369	
Ngn2p	3	0.5026315789473684	positive	177	471	2.39272353556799	107	2.4213885383872586	5.0	-3.947697562932361	0.17661014735791425	-3.5062871867256273	0.07377351739566945	
