"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048699","generation of neurons","17/39","1750/29008",2.4575347960851e-11,2.70574581048969e-08,1.73320875092317e-08,"14766/16917/18072/15410/14758/26757/21418/16869/27140/17268/20666/13844/19649/12404/330166/170729/11906",17
"GO:0022008","neurogenesis","17/39","1879/29008",7.50704180882243e-11,4.13262651575675e-08,2.64722000626896e-08,"14766/16917/18072/15410/14758/26757/21418/16869/27140/17268/20666/13844/19649/12404/330166/170729/11906",17
"GO:0048704","embryonic skeletal system morphogenesis","7/39","110/29008",1.29296036450324e-10,4.60657999501658e-08,2.9508184871754e-08,"15412/15423/15410/21418/15401/16869/20666",7
"GO:0007417","central nervous system development","13/39","949/29008",1.67359854496515e-10,4.60657999501658e-08,2.9508184871754e-08,"14766/16917/18072/15410/21418/16869/27140/17268/20666/13844/13004/12404/11906",13
"GO:0048562","embryonic organ morphogenesis","9/39","332/29008",4.73867401954476e-10,7.24475825851221e-08,4.64074576528819e-08,"15412/15423/15410/21418/15401/16869/110796/20666/13844",9
"GO:0045893","positive regulation of transcription, DNA-templated","15/39","1538/29008",5.17044132019626e-10,7.24475825851221e-08,4.64074576528819e-08,"18027/15412/16917/18987/18072/15423/27386/15410/21418/16869/17268/20666/71069/17932/11906",15
"GO:1903508","positive regulation of nucleic acid-templated transcription","15/39","1538/29008",5.17044132019626e-10,7.24475825851221e-08,4.64074576528819e-08,"18027/15412/16917/18987/18072/15423/27386/15410/21418/16869/17268/20666/71069/17932/11906",15
"GO:1902680","positive regulation of RNA biosynthetic process","15/39","1540/29008",5.26412952480451e-10,7.24475825851221e-08,4.64074576528819e-08,"18027/15412/16917/18987/18072/15423/27386/15410/21418/16869/17268/20666/71069/17932/11906",15
"GO:0007389","pattern specification process","10/39","482/29008",6.03853695257317e-10,7.38714353864785e-08,4.73195293359535e-08,"14766/15412/16917/15423/15410/21418/15401/16869/110796/17268",10
"GO:0048706","embryonic skeletal system development","7/39","147/29008",9.97985017389467e-10,1.0987815041458e-07,7.0384206489573e-08,"15412/15423/15410/21418/15401/16869/20666",7
"GO:0048593","camera-type eye morphogenesis","7/39","156/29008",1.51243361919567e-09,1.51380855884948e-07,9.69694282163729e-08,"21418/16869/17268/20666/13844/214058/330166",7
"GO:0051254","positive regulation of RNA metabolic process","15/39","1677/29008",1.70024852032815e-09,1.55997801740108e-07,9.99268867210406e-08,"18027/15412/16917/18987/18072/15423/27386/15410/21418/16869/17268/20666/71069/17932/11906",15
"GO:0010557","positive regulation of macromolecule biosynthetic process","15/39","1772/29008",3.60774770405662e-09,3.0554847862818e-07,1.95723964511574e-07,"18027/15412/16917/18987/18072/15423/27386/15410/21418/16869/17268/20666/71069/17932/11906",15
"GO:0045944","positive regulation of transcription by RNA polymerase II","13/39","1249/29008",4.69102897521856e-09,3.68915921551117e-07,2.36314993488454e-07,"18027/15412/16917/18987/18072/15423/15410/21418/17268/20666/71069/17932/11906",13
"GO:0048592","eye morphogenesis","7/39","188/29008",5.54195583141847e-09,4.06779558026116e-07,2.60569151371956e-07,"21418/16869/17268/20666/13844/214058/330166",7
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process","15/39","1847/29008",6.33372815785423e-09,4.35839668862344e-07,2.79184070115943e-07,"18027/15412/16917/18987/18072/15423/27386/15410/21418/16869/17268/20666/71069/17932/11906",15
"GO:0030182","neuron differentiation","14/39","1570/29008",7.33745483212423e-09,4.75208104127575e-07,3.04402150930231e-07,"16917/18072/14758/26757/21418/16869/27140/17268/20666/13844/19649/12404/330166/11906",14
"GO:0031328","positive regulation of cellular biosynthetic process","15/39","1891/29008",8.70821249340939e-09,5.19374191725759e-07,3.32693444673511e-07,"18027/15412/16917/18987/18072/15423/27386/15410/21418/16869/17268/20666/71069/17932/11906",15
"GO:0090596","sensory organ morphogenesis","8/39","319/29008",8.96286071098041e-09,5.19374191725759e-07,3.32693444673511e-07,"21418/16869/110796/17268/20666/13844/214058/330166",8
"GO:0009891","positive regulation of biosynthetic process","15/39","1937/29008",1.20410345701334e-08,6.47876721564944e-07,4.15007795256478e-07,"18027/15412/16917/18987/18072/15423/27386/15410/21418/16869/17268/20666/71069/17932/11906",15
"GO:0048598","embryonic morphogenesis","10/39","661/29008",1.23573216647265e-08,6.47876721564944e-07,4.15007795256478e-07,"15412/16917/15423/15410/21418/15401/16869/110796/20666/13844",10
"GO:0007420","brain development","10/39","676/29008",1.52763827662118e-08,7.6451351934542e-07,4.89721361404877e-07,"14766/16917/18072/15410/21418/16869/17268/13844/12404/11906",10
"GO:0009887","animal organ morphogenesis","12/39","1131/29008",1.71765189554254e-08,8.22232494344493e-07,5.26694173919222e-07,"15412/15423/15410/21418/15401/16869/110796/17268/20666/13844/214058/330166",12
"GO:0048568","embryonic organ development","9/39","524/29008",2.50332062714858e-08,1.14839833770441e-06,7.35624921135768e-07,"15412/15423/15410/21418/15401/16869/110796/20666/13844",9
"GO:0060322","head development","10/39","734/29008",3.31533889301e-08,1.44291897203179e-06,9.24284823616136e-07,"14766/16917/18072/15410/21418/16869/17268/13844/12404/11906",10
"GO:0003002","regionalization","8/39","379/29008",3.40743808109232e-08,1.44291897203179e-06,9.24284823616136e-07,"14766/15412/16917/15423/15410/15401/16869/110796",8
