"X","community","NCBI.gene..formerly.Entrezgene..ID"
"Calm1",1,12313
"Vegfc",1,22341
"Nuak1",0,77976
"Greb1",0,268527
"Slc1a2",4,20511
"Srrm4",4,68955
"Dcdc2a",1,195208
"Hmgn5",1,50887
"Rasl11b",4,68939
"Nr6a1",4,14536
"Frrs1l",1,230235
"Ssu2",4,243612
"Scn8a",4,20273
"Cplx2",1,12890
"Sfrp2",0,20319
"Pcdh8",0,18530
"Pax6",0,18508
"Eef2k",1,13631
"Eif4e3",4,66892
"Pou3f2",0,18992
"Hoxb2",0,103889
"Neurod1",4,18012
"Efnb1",1,13641
"Tff3",1,21786
"Dcaf12l1",4,245404
"Adgrg1",2,14766
"Phldb2",0,208177
"Pdzph1",0,69239
"Slc22a23",1,73102
"Ccdc177",0,380768
"Nr2f1",0,13865
"Iqgap2",4,544963
"Igdcc3",0,19289
"Scube1",0,64706
"Plcg2",1,234779
"Pou3f1",4,18991
"Kpna4",4,16649
"Rgma",0,244058
"Palld",0,72333
"Rai14",1,75646
"Ak3",0,56248
"Pou3f3",0,18993
"Pfkfb4",0,270198
"Sulf1",1,240725
"Lmnb1",0,16906
"Tada1",0,27878
"Pnma5",4,385377
"Neurod2",4,18013
"Tox3",3,244579
"Marcks",3,17118
"Nfia",2,18027
"Ebf2",3,13592
"Chd7",1,320790
"Id4",0,15904
"Trap1a",1,22037
"Cit",1,12704
"Cyp51",1,13121
"Fignl2",0,668225
"Hoxb4",2,15412
"Olig2",4,50913
"Rassf4",1,213391
"Lmx1b",2,16917
"Pou2f2",2,18987
"Fam178b",1,381337
"4930578M01Rik",3,75951
"Smad3",0,17127
"F2rl1",1,14063
"Iqgap1",1,29875
"Lhx5",0,16873
"Otx2",1,18424
"Mn1",0,433938
"Snap23",6,20619
"Lgi4",0,243914
"Vxn",0,76982
"Nhlh2",2,18072
"Hoxc4",2,15423
"Skida1",0,72668
"2900052N01Rik",4,73040
"Ly6h",0,23934
"Sox6",4,20679
"Zfp516",0,329003
"Mpzl2",5,14012
"Myof",5,226101
"Npas3",2,27386
"Hoxb3",2,15410
"Gpm6b",2,14758
"Spsb4",1,211949
"Gm24616",1,115488691
"Pik3r3",0,18710
"Nhlh1",3,18071
"Greb1l",1,381157
"Nucks1",6,98415
"Sh3pxd2b",0,268396
"Plekho1",3,67220
"Lef1",1,16842
"Rbpms2",1,71973
"Enox2",4,209224
"Ckb",2,12709
"Lhx2",4,16870
"Dpysl4",2,26757
"Zfp521",0,225207
"Fat3",0,270120
"Phf21b",3,271305
"Slc12a1",0,20495
"Glra1",3,14654
"Nup85",6,445007
"Gm22748",5,115488064
"Helb",5,117599
"Nop56",6,67134
"Pabpc4",6,230721
"Crabp1",0,12903
"Pcsk9",0,100102
"Ube2e3",0,22193
"Hs6st1",4,50785
"Cpne6",4,12891
"Foxp2",1,114142
"Tfap2a",2,21418
"Sfmbt2",1,353282
"Mmp13",5,17386
"Grem1",5,23892
"Usp28",5,235323
"Sh3rf1",0,59009
"Cdip1",0,66626
"Hoxa4",2,15401
"Ammecr1",1,56068
"Cdca2",6,108912
"Reep3",3,28193
"Ddx5",3,13207
"Gdf11",3,14561
"Igfbpl1",3,75426
"Uncx",4,22255
"Midn",3,59090
"Zfp113",0,56314
"Slc32a1",2,22348
"Mllt3",0,70122
"Serpine1",5,18787
"Dach1",0,13134
"Epb41",3,269587
"Pmaip1",1,58801
"Flnc",4,68794
"Ptn",4,19242
"Fign",3,60344
"Zfp629",0,320683
"Dvl3",3,13544
"Tbc1d30",2,74694
"Cd164",4,53599
"Pogk",0,71592
"Zbtb5",0,230119
"Zfp811",0,240063
"Nop58",6,55989
"Dhfr",6,13361
"Vav2",0,22325
"B4galt1",6,14595
"Lhx1",2,16869
"Srgap3",2,259302
"Id2",3,15902
"Auts2",3,319974
"Zfp821",0,75871
"Cwf19l2",6,244672
"Phlda1",0,21664
"Fgf3",4,14174
"Sgk2",5,27219
"Lig1",6,16881
"Dkc1",6,245474
"Ppp1r17",4,19051
"Id1",1,15901
"Tbrg1",1,21376
"Tshz1",2,110796
"Tlx3",2,27140
"Armh4",4,67419
"Hk2",5,15277
"Zap70",5,22637
"1700025G04Rik",4,69399
"Myo5c",1,208943
"Meis1",2,17268
"Ncald",0,52589
"Vangl2",0,93840
"Zfp618",3,72701
"Celsr1",0,12614
"Rrp1b",6,72462
"Snx5",6,69178
"Gfra1",4,14585
"Ssbp3",3,72475
"Zfp568",1,243905
"Hsf2bp",5,74377
"Eif2s2",5,67204
"Msl1",0,74026
"Xlr3a",6,22445
"Ephb1",0,270190
"Mapre1",4,13589
"Zeb1",3,21417
"Sox11",2,20666
"Lzts1",1,211134
"Mybbp1a",6,18432
"Ephb2",2,13844
"Zfp423",0,94187
"Megf11",2,214058
"Hmces",5,232210
"Ncan",2,13004
"Gfpt2",5,14584
"Tsr1",6,104662
"Stox2",2,71069
"Lmo7",1,380928
"Mageh1",2,75625
"Plxna2",0,18845
"Cxxc4",0,319478
"Tpd52",1,21985
"Dkk2",6,56811
"Nova2",3,384569
"Myt1",2,17932
"Robo3",2,19649
"Mre11a",6,17535
"Rnf122",0,68867
"Tenm4",0,23966
"Hoxb8",0,15416
"Cdc6",6,23834
"Mex3a",4,72640
"Ttc3",3,22129
"Pcdhb17",2,93888
"Slc35f1",0,215085
"Cbln1",2,12404
"Lbr",1,98386
"Slc25a13",5,50799
"Bhlhe23",0,140489
"Dbi",1,13167
"Xlr3c",6,22446
"St13",6,70356
"Eras",5,353283
"Slc2a3",5,20527
"Cldn4",5,12740
"Naa50",6,72117
"AU020206",6,108167440
"Miat",2,330166
"Scrt1",2,170729
"Rarg",5,19411
"Eef1b2",6,55949
"Dppa4",5,73693
"Mgp",5,17313
"Eif4b",6,75705
"Hsd17b14",5,66065
"Fgf4",5,14175
"Ptprk",1,19272
"Tmem163",2,72160
"Pfkfb3",2,170768
"Bcorl1",3,320376
"Nell2",0,54003
"Cdh2",0,12558
"Zfhx3",2,11906
"Mxd4",3,17122
"Gm23639",5,115489002
"Sall3",0,20689
"Rprm",0,67874
"Maged1",0,94275
"Skor1",2,207667
"Pcdhb22",3,93893
"Xlr4b",4,27083
"6330403K07Rik",0,103712
"Amer2",2,72125
"Olig1",1,50914
"Nnat",3,18111
"Ptprs",3,19280
"Meis3",0,17537
"Cdh6",0,12563
"Olfm2",0,244723
"Pcdh17",0,219228
"Meis2",3,17536
"Dpysl2",3,12934
"Pla2g1b",6,18778
"Klf7",4,93691
"Krt42",5,68239
"Gm25636",6,115486823
"Thsd7a",2,330267
"Cd24a",3,12484
"Epcam",5,17075
"Tceal9",0,22381
"Lhx9",1,16876
"Aff3",3,16764
"Tnrc18",2,231861
