GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	GO ASPECT
UniProtKB	A0A023UF19	Tfap2c	enables	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q92754|ensembl:ENSP00000201031	10090	Ensembl	F
UniProtKB	A0A023UF19	Tfap2c	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q92754|ensembl:ENSP00000201031	10090	Ensembl	F
UniProtKB	A0A023UF19	Tfap2c	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004979|InterPro:IPR008123	10090	InterPro	F
UniProtKB	A0A068BD65	Rxrb	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001628	10090	InterPro	F
UniProtKB	A0A068BD65	Rxrb	enables	GO:0003707	nuclear steroid receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000003	10090	InterPro	F
UniProtKB	A0A068BD65	Rxrb	enables	GO:0004879	nuclear receptor activity	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035557	10090	UniProt	F
UniProtKB	A0A068BES4	Rxrb	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001628	10090	InterPro	F
UniProtKB	A0A068BES4	Rxrb	enables	GO:0003707	nuclear steroid receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000003	10090	InterPro	F
UniProtKB	A0A068BES4	Rxrb	enables	GO:0004879	nuclear receptor activity	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035557	10090	UniProt	F
UniProtKB	A0A068BFV6	Rxrb	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001628	10090	InterPro	F
UniProtKB	A0A068BFV6	Rxrb	enables	GO:0003707	nuclear steroid receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000003	10090	InterPro	F
UniProtKB	A0A068BFV6	Rxrb	enables	GO:0004879	nuclear receptor activity	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035557	10090	UniProt	F
UniProtKB	A0A068BGT5	Rxrb	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001628	10090	InterPro	F
UniProtKB	A0A068BGT5	Rxrb	enables	GO:0003707	nuclear steroid receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000003	10090	InterPro	F
UniProtKB	A0A068BGT5	Rxrb	enables	GO:0004879	nuclear receptor activity	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035557	10090	UniProt	F
UniProtKB	A0A068BGV8	Rxrb	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001628	10090	InterPro	F
UniProtKB	A0A068BGV8	Rxrb	enables	GO:0003707	nuclear steroid receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000003	10090	InterPro	F
UniProtKB	A0A068BGV8	Rxrb	enables	GO:0004879	nuclear receptor activity	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035557	10090	UniProt	F
UniProtKB	A0A068BIV0	Rxrb	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001628	10090	InterPro	F
UniProtKB	A0A068BIV0	Rxrb	enables	GO:0003707	nuclear steroid receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000003	10090	InterPro	F
UniProtKB	A0A068BIV0	Rxrb	enables	GO:0004879	nuclear receptor activity	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035557	10090	UniProt	F
